
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO', gpu='4,5', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 112], root_path='/data/sohui/Prostate/data/trim/ssl_data', seed=1337, total_labeled_num=290)
total_prostate train : dataset.json











Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [01:18<00:00,  3.25s/it]










Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:41<00:00,  1.71s/it]



Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [00:38<00:06,  6.13s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:41<00:00,  6.94s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.555369, loss_ce: 0.559581, loss_dice: 0.550656
iteration 2 : loss : 0.666824, loss_ce: 0.732377, loss_dice: 0.601160
iteration 3 : loss : 0.518107, loss_ce: 0.484076, loss_dice: 0.551962
iteration 4 : loss : 0.454439, loss_ce: 0.376098, loss_dice: 0.532496
iteration 5 : loss : 0.574283, loss_ce: 0.587024, loss_dice: 0.561328
iteration 6 : loss : 0.497473, loss_ce: 0.463859, loss_dice: 0.530894
iteration 7 : loss : 0.415271, loss_ce: 0.340742, loss_dice: 0.489635
iteration 8 : loss : 0.433887, loss_ce: 0.341285, loss_dice: 0.526308
iteration 9 : loss : 0.486515, loss_ce: 0.447520, loss_dice: 0.525298
iteration 10 : loss : 0.451223, loss_ce: 0.381704, loss_dice: 0.520599
iteration 11 : loss : 0.435996, loss_ce: 0.342520, loss_dice: 0.529170
iteration 12 : loss : 0.474156, loss_ce: 0.420327, loss_dice: 0.527754
iteration 13 : loss : 0.406108, loss_ce: 0.289658, loss_dice: 0.522335
iteration 14 : loss : 0.382657, loss_ce: 0.248003, loss_dice: 0.517162
iteration 15 : loss : 0.393009, loss_ce: 0.269663, loss_dice: 0.516008
iteration 16 : loss : 0.335138, loss_ce: 0.190186, loss_dice: 0.479843
iteration 17 : loss : 0.352755, loss_ce: 0.194937, loss_dice: 0.510286
iteration 18 : loss : 0.344550, loss_ce: 0.207505, loss_dice: 0.481485
iteration 19 : loss : 0.348210, loss_ce: 0.186024, loss_dice: 0.510172
iteration 20 : loss : 0.309114, loss_ce: 0.140729, loss_dice: 0.477380
iteration 21 : loss : 0.336610, loss_ce: 0.165148, loss_dice: 0.508004
iteration 22 : loss : 0.310604, loss_ce: 0.160202, loss_dice: 0.460744
iteration 23 : loss : 0.329753, loss_ce: 0.176827, loss_dice: 0.482450
iteration 24 : loss : 0.319118, loss_ce: 0.132182, loss_dice: 0.505564
iteration 25 : loss : 0.295883, loss_ce: 0.125636, loss_dice: 0.465988
iteration 26 : loss : 0.318576, loss_ce: 0.169564, loss_dice: 0.467450
iteration 27 : loss : 0.266513, loss_ce: 0.104833, loss_dice: 0.427876
iteration 28 : loss : 0.309901, loss_ce: 0.139826, loss_dice: 0.479720
iteration 29 : loss : 0.288761, loss_ce: 0.116557, loss_dice: 0.460782
iteration 30 : loss : 0.279212, loss_ce: 0.076313, loss_dice: 0.481992
iteration 31 : loss : 0.309100, loss_ce: 0.141305, loss_dice: 0.476564
iteration 32 : loss : 0.277643, loss_ce: 0.054106, loss_dice: 0.501011
iteration 33 : loss : 0.285246, loss_ce: 0.099940, loss_dice: 0.470166
iteration 34 : loss : 0.279677, loss_ce: 0.102666, loss_dice: 0.456354
iteration 35 : loss : 0.284099, loss_ce: 0.102539, loss_dice: 0.465350
iteration 36 : loss : 0.291793, loss_ce: 0.103438, loss_dice: 0.479988
iteration 37 : loss : 0.288387, loss_ce: 0.118456, loss_dice: 0.458051
iteration 38 : loss : 0.263820, loss_ce: 0.083668, loss_dice: 0.443695
iteration 39 : loss : 0.312489, loss_ce: 0.154564, loss_dice: 0.470257
iteration 40 : loss : 0.271972, loss_ce: 0.077688, loss_dice: 0.466150
iteration 41 : loss : 0.266977, loss_ce: 0.094183, loss_dice: 0.439576
