
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO', gpu='4,5', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 112], root_path='/data/sohui/Prostate/data/trim/ssl_data', seed=1337, total_labeled_num=290)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]











Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [01:22<00:00,  3.43s/it]









Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:40<00:00,  1.71s/it]



Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [00:36<00:05,  5.79s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:39<00:00,  6.58s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.558046, loss_ce: 0.562086, loss_dice: 0.553501
iteration 2 : loss : 0.664895, loss_ce: 0.734892, loss_dice: 0.594786
iteration 3 : loss : 0.507884, loss_ce: 0.483409, loss_dice: 0.532182
iteration 4 : loss : 0.451302, loss_ce: 0.379360, loss_dice: 0.522954
iteration 5 : loss : 0.572480, loss_ce: 0.584153, loss_dice: 0.560594
iteration 6 : loss : 0.497343, loss_ce: 0.464395, loss_dice: 0.530098
iteration 7 : loss : 0.415685, loss_ce: 0.342016, loss_dice: 0.489193
iteration 8 : loss : 0.427843, loss_ce: 0.349191, loss_dice: 0.506314
iteration 9 : loss : 0.486352, loss_ce: 0.450540, loss_dice: 0.521951
iteration 10 : loss : 0.455818, loss_ce: 0.379417, loss_dice: 0.532076
iteration 11 : loss : 0.435424, loss_ce: 0.341877, loss_dice: 0.528670
iteration 12 : loss : 0.478539, loss_ce: 0.415937, loss_dice: 0.540914
iteration 13 : loss : 0.408302, loss_ce: 0.303188, loss_dice: 0.513204
iteration 14 : loss : 0.371515, loss_ce: 0.255124, loss_dice: 0.487749
iteration 15 : loss : 0.381047, loss_ce: 0.273197, loss_dice: 0.488540
