
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO', gpu='4,5', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 112], root_path='/data/sohui/Prostate/data/trim/ssl_data', seed=1337, total_labeled_num=290)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]









Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [01:21<00:00,  3.41s/it]








Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:40<00:00,  1.68s/it]


Loading dataset:  67%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                                                            | 4/6 [00:25<00:08,  4.12s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:40<00:00,  6.81s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.561615, loss_ce: 0.556051, loss_dice: 0.566668
iteration 2 : loss : 0.669327, loss_ce: 0.736080, loss_dice: 0.602462
iteration 3 : loss : 0.516162, loss_ce: 0.479554, loss_dice: 0.552602
iteration 4 : loss : 0.454941, loss_ce: 0.374795, loss_dice: 0.534799
iteration 5 : loss : 0.572914, loss_ce: 0.584674, loss_dice: 0.560946
iteration 6 : loss : 0.498150, loss_ce: 0.465819, loss_dice: 0.530286
iteration 7 : loss : 0.415109, loss_ce: 0.340349, loss_dice: 0.489710
iteration 8 : loss : 0.428675, loss_ce: 0.348688, loss_dice: 0.508488
iteration 9 : loss : 0.486990, loss_ce: 0.449193, loss_dice: 0.524573
iteration 10 : loss : 0.449617, loss_ce: 0.384249, loss_dice: 0.514835
iteration 11 : loss : 0.428250, loss_ce: 0.349465, loss_dice: 0.506738
iteration 12 : loss : 0.473936, loss_ce: 0.420023, loss_dice: 0.527625
iteration 13 : loss : 0.402553, loss_ce: 0.295269, loss_dice: 0.509627
iteration 14 : loss : 0.371733, loss_ce: 0.255278, loss_dice: 0.488028
iteration 15 : loss : 0.385825, loss_ce: 0.279312, loss_dice: 0.491987
iteration 16 : loss : 0.343502, loss_ce: 0.177469, loss_dice: 0.509292
iteration 17 : loss : 0.341374, loss_ce: 0.206195, loss_dice: 0.476263
iteration 18 : loss : 0.342907, loss_ce: 0.203591, loss_dice: 0.482108
iteration 19 : loss : 0.346697, loss_ce: 0.183244, loss_dice: 0.509923
iteration 20 : loss : 0.305976, loss_ce: 0.137456, loss_dice: 0.474375
iteration 21 : loss : 0.334236, loss_ce: 0.160696, loss_dice: 0.507706
iteration 22 : loss : 0.309730, loss_ce: 0.160431, loss_dice: 0.458773
iteration 23 : loss : 0.329203, loss_ce: 0.175872, loss_dice: 0.482298
iteration 24 : loss : 0.316785, loss_ce: 0.127848, loss_dice: 0.505248
iteration 25 : loss : 0.291785, loss_ce: 0.130522, loss_dice: 0.452904
iteration 26 : loss : 0.335473, loss_ce: 0.162764, loss_dice: 0.508043
iteration 27 : loss : 0.267198, loss_ce: 0.100276, loss_dice: 0.433804
iteration 28 : loss : 0.306690, loss_ce: 0.137453, loss_dice: 0.475672
iteration 29 : loss : 0.297993, loss_ce: 0.098812, loss_dice: 0.496991
iteration 30 : loss : 0.278905, loss_ce: 0.076796, loss_dice: 0.480886
iteration 31 : loss : 0.307707, loss_ce: 0.141303, loss_dice: 0.473777
iteration 32 : loss : 0.268746, loss_ce: 0.075033, loss_dice: 0.462294
iteration 33 : loss : 0.284015, loss_ce: 0.099705, loss_dice: 0.467946
iteration 34 : loss : 0.283571, loss_ce: 0.100849, loss_dice: 0.465960
iteration 35 : loss : 0.286070, loss_ce: 0.103331, loss_dice: 0.468509
iteration 36 : loss : 0.290818, loss_ce: 0.098845, loss_dice: 0.482642
iteration 37 : loss : 0.285681, loss_ce: 0.116870, loss_dice: 0.454226
iteration 38 : loss : 0.275962, loss_ce: 0.062070, loss_dice: 0.489578
iteration 39 : loss : 0.317588, loss_ce: 0.143454, loss_dice: 0.491565
iteration 40 : loss : 0.272106, loss_ce: 0.083502, loss_dice: 0.460597
iteration 41 : loss : 0.289972, loss_ce: 0.077143, loss_dice: 0.502607
iteration 42 : loss : 0.295335, loss_ce: 0.087868, loss_dice: 0.502724
iteration 43 : loss : 0.290357, loss_ce: 0.078553, loss_dice: 0.502077
iteration 44 : loss : 0.280532, loss_ce: 0.059727, loss_dice: 0.501205
iteration 45 : loss : 0.272374, loss_ce: 0.086429, loss_dice: 0.458126
iteration 46 : loss : 0.266126, loss_ce: 0.089887, loss_dice: 0.442130
iteration 47 : loss : 0.266103, loss_ce: 0.079408, loss_dice: 0.452651
iteration 48 : loss : 0.277749, loss_ce: 0.098252, loss_dice: 0.457211
iteration 49 : loss : 0.279846, loss_ce: 0.077034, loss_dice: 0.482516
iteration 50 : loss : 0.257018, loss_ce: 0.059078, loss_dice: 0.454774
iteration 51 : loss : 0.259039, loss_ce: 0.060350, loss_dice: 0.457645
iteration 52 : loss : 0.276573, loss_ce: 0.078022, loss_dice: 0.475060
iteration 53 : loss : 0.272084, loss_ce: 0.080814, loss_dice: 0.463270
iteration 54 : loss : 0.290901, loss_ce: 0.104675, loss_dice: 0.476931
iteration 55 : loss : 0.262369, loss_ce: 0.073108, loss_dice: 0.451545
iteration 56 : loss : 0.261876, loss_ce: 0.023402, loss_dice: 0.500274
iteration 57 : loss : 0.256641, loss_ce: 0.057907, loss_dice: 0.455335
iteration 58 : loss : 0.259540, loss_ce: 0.048426, loss_dice: 0.470605
iteration 59 : loss : 0.265077, loss_ce: 0.029652, loss_dice: 0.500457
iteration 60 : loss : 0.257335, loss_ce: 0.050678, loss_dice: 0.463959
iteration 61 : loss : 0.275073, loss_ce: 0.048785, loss_dice: 0.501243
iteration 62 : loss : 0.267621, loss_ce: 0.090290, loss_dice: 0.444787
iteration 63 : loss : 0.272147, loss_ce: 0.084808, loss_dice: 0.459378
iteration 64 : loss : 0.280273, loss_ce: 0.058993, loss_dice: 0.501472
iteration 65 : loss : 0.266884, loss_ce: 0.073394, loss_dice: 0.460294
iteration 66 : loss : 0.282595, loss_ce: 0.063637, loss_dice: 0.501485
iteration 67 : loss : 0.259805, loss_ce: 0.069128, loss_dice: 0.450411
iteration 68 : loss : 0.266213, loss_ce: 0.085405, loss_dice: 0.446948
iteration 69 : loss : 0.276848, loss_ce: 0.064044, loss_dice: 0.489616
iteration 70 : loss : 0.261585, loss_ce: 0.056463, loss_dice: 0.466630
iteration 71 : loss : 0.251878, loss_ce: 0.051998, loss_dice: 0.451736
iteration 72 : loss : 0.260680, loss_ce: 0.079556, loss_dice: 0.441713
iteration 73 : loss : 0.259079, loss_ce: 0.050915, loss_dice: 0.467165
iteration 74 : loss : 0.257100, loss_ce: 0.044002, loss_dice: 0.470121
iteration 75 : loss : 0.253303, loss_ce: 0.053660, loss_dice: 0.452878
iteration 76 : loss : 0.272026, loss_ce: 0.073983, loss_dice: 0.470039
iteration 77 : loss : 0.264555, loss_ce: 0.086003, loss_dice: 0.443082
iteration 78 : loss : 0.271407, loss_ce: 0.054135, loss_dice: 0.488592
iteration 79 : loss : 0.260408, loss_ce: 0.050717, loss_dice: 0.470071
iteration 80 : loss : 0.257850, loss_ce: 0.054584, loss_dice: 0.461100
iteration 81 : loss : 0.281256, loss_ce: 0.060834, loss_dice: 0.501647
iteration 82 : loss : 0.268098, loss_ce: 0.035653, loss_dice: 0.500511
iteration 83 : loss : 0.278852, loss_ce: 0.056473, loss_dice: 0.501197
