
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO_350_350_200', gpu='4,5', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
total_prostate train : dataset.json








Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:48<00:00,  2.03s/it]





Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:23<00:00,  1.00it/s]


Loading dataset:  33%|████████████████████████████████████████████████████████████                                                                                                                        | 2/6 [00:14<00:27,  6.77s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:18<00:00,  3.16s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.558035, loss_ce: 0.561906, loss_dice: 0.553755
iteration 2 : loss : 0.524231, loss_ce: 0.497040, loss_dice: 0.547042
iteration 3 : loss : 0.491216, loss_ce: 0.442816, loss_dice: 0.523977
iteration 4 : loss : 0.542242, loss_ce: 0.508801, loss_dice: 0.548238
iteration 5 : loss : 0.615364, loss_ce: 0.637046, loss_dice: 0.570810
iteration 6 : loss : 0.578168, loss_ce: 0.571926, loss_dice: 0.551623
iteration 7 : loss : 0.489055, loss_ce: 0.438177, loss_dice: 0.516224
iteration 8 : loss : 0.438397, loss_ce: 0.352482, loss_dice: 0.512064
iteration 9 : loss : 0.419519, loss_ce: 0.307545, loss_dice: 0.485447
iteration 10 : loss : 0.443671, loss_ce: 0.346012, loss_dice: 0.516256
iteration 11 : loss : 0.451242, loss_ce: 0.338724, loss_dice: 0.514591
iteration 12 : loss : 0.358137, loss_ce: 0.183319, loss_dice: 0.490693
iteration 13 : loss : 0.454512, loss_ce: 0.359900, loss_dice: 0.521608
iteration 14 : loss : 0.364075, loss_ce: 0.200435, loss_dice: 0.482265
iteration 15 : loss : 0.347569, loss_ce: 0.173594, loss_dice: 0.474544
iteration 16 : loss : 0.369025, loss_ce: 0.215389, loss_dice: 0.486396
iteration 17 : loss : 0.431692, loss_ce: 0.315559, loss_dice: 0.499888
iteration 18 : loss : 0.325640, loss_ce: 0.159338, loss_dice: 0.480232
iteration 19 : loss : 0.344905, loss_ce: 0.187278, loss_dice: 0.471472
iteration 20 : loss : 0.329074, loss_ce: 0.154795, loss_dice: 0.481251
iteration 21 : loss : 0.332213, loss_ce: 0.159929, loss_dice: 0.484651
iteration 22 : loss : 0.303024, loss_ce: 0.127982, loss_dice: 0.458306
iteration 23 : loss : 0.307999, loss_ce: 0.115951, loss_dice: 0.471448
iteration 24 : loss : 0.353115, loss_ce: 0.158423, loss_dice: 0.480649
iteration 25 : loss : 0.339768, loss_ce: 0.196280, loss_dice: 0.469955
iteration 26 : loss : 0.322398, loss_ce: 0.161219, loss_dice: 0.468764
iteration 27 : loss : 0.307442, loss_ce: 0.153665, loss_dice: 0.436102
iteration 28 : loss : 0.281725, loss_ce: 0.082419, loss_dice: 0.449124
iteration 29 : loss : 0.297028, loss_ce: 0.114997, loss_dice: 0.457494
iteration 30 : loss : 0.298485, loss_ce: 0.097991, loss_dice: 0.482297
iteration 31 : loss : 0.370693, loss_ce: 0.195111, loss_dice: 0.498593
iteration 32 : loss : 0.342825, loss_ce: 0.166392, loss_dice: 0.487411
iteration 33 : loss : 0.340188, loss_ce: 0.149594, loss_dice: 0.478124
iteration 34 : loss : 0.320698, loss_ce: 0.120673, loss_dice: 0.483401
iteration 35 : loss : 0.288559, loss_ce: 0.078209, loss_dice: 0.463972
iteration 36 : loss : 0.277249, loss_ce: 0.072903, loss_dice: 0.460939
iteration 37 : loss : 0.279433, loss_ce: 0.080268, loss_dice: 0.450139
iteration 38 : loss : 0.314250, loss_ce: 0.144368, loss_dice: 0.452227
iteration 39 : loss : 0.303751, loss_ce: 0.120798, loss_dice: 0.469487
iteration 40 : loss : 0.308752, loss_ce: 0.145117, loss_dice: 0.461985
iteration 41 : loss : 0.272982, loss_ce: 0.089677, loss_dice: 0.443809
iteration 42 : loss : 0.271443, loss_ce: 0.077872, loss_dice: 0.460190
