
Namespace(add=1e-08, aggKernel=11, base_lr=0.01, batch_size=2, class_name=1, deterministic=1, ema_decay=0.99, exp='SL/sameForm_Wssl', fold=None, gpu='2,3', max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, overlap=0.5, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/sl_data/centerCrop_350_350_200', seed=1337, sw_batch_size=8)
total_prostate train : dataset.json








Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:44<00:00,  1.85s/it]


Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:12<00:00,  2.04s/it]
  0%|                                        | 0/1501 [00:00<?, ?it/s]
iteration 1 : supervised_loss : 1.116405
iteration 2 : supervised_loss : 1.258319
iteration 3 : supervised_loss : 0.889144
iteration 4 : supervised_loss : 0.915744
iteration 5 : supervised_loss : 0.945639
iteration 6 : supervised_loss : 0.915587
iteration 7 : supervised_loss : 0.966872
iteration 8 : supervised_loss : 0.847452
iteration 9 : supervised_loss : 0.773626
iteration 10 : supervised_loss : 0.817998
iteration 11 : supervised_loss : 0.727711
iteration 12 : supervised_loss : 0.645489
iteration 13 : supervised_loss : 0.632663
iteration 14 : supervised_loss : 0.596306
iteration 15 : supervised_loss : 0.658459
iteration 16 : supervised_loss : 0.569990
iteration 17 : supervised_loss : 0.629013
iteration 18 : supervised_loss : 0.623740

  0%|                             | 1/1501 [00:49<20:40:13, 49.61s/it]
iteration 20 : supervised_loss : 0.561620
iteration 21 : supervised_loss : 0.651817
iteration 22 : supervised_loss : 0.529419
iteration 23 : supervised_loss : 0.525667
iteration 24 : supervised_loss : 0.519017
iteration 25 : supervised_loss : 0.517228
iteration 26 : supervised_loss : 0.509980
iteration 27 : supervised_loss : 0.585340
iteration 28 : supervised_loss : 0.520000
iteration 29 : supervised_loss : 0.589108
iteration 30 : supervised_loss : 0.509485
iteration 31 : supervised_loss : 0.528692
iteration 32 : supervised_loss : 0.532885
iteration 33 : supervised_loss : 0.512035
iteration 34 : supervised_loss : 0.507465
iteration 35 : supervised_loss : 0.522460
iteration 36 : supervised_loss : 0.528494
iteration 37 : supervised_loss : 0.509788
iteration 38 : supervised_loss : 0.534633

  0%|                             | 2/1501 [01:40<20:56:13, 50.28s/it]
iteration 40 : supervised_loss : 0.528294
iteration 41 : supervised_loss : 0.501017
iteration 42 : supervised_loss : 0.508477
iteration 43 : supervised_loss : 0.510046
iteration 44 : supervised_loss : 0.499905
iteration 45 : supervised_loss : 0.513495
iteration 46 : supervised_loss : 0.497883
iteration 47 : supervised_loss : 0.497853
iteration 48 : supervised_loss : 0.497472
iteration 49 : supervised_loss : 0.494551
iteration 50 : supervised_loss : 0.490387
iteration 51 : supervised_loss : 0.509151
iteration 52 : supervised_loss : 0.503534
iteration 53 : supervised_loss : 0.492792
iteration 54 : supervised_loss : 0.483754
iteration 55 : supervised_loss : 0.484146
iteration 56 : supervised_loss : 0.486956
iteration 57 : supervised_loss : 0.482206
iteration 58 : supervised_loss : 0.488981

