
Namespace(add=1e-08, aggKernel=11, base_lr=0.01, batch_size=2, class_name=1, deterministic=1, ema_decay=0.99, exp='SL/sameForm_Wssl', fold=None, gpu='2,3', max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, overlap=0.5, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/sl_data/centerCrop_350_350_200', seed=1337, sw_batch_size=8)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]






Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:46<00:00,  1.92s/it]


Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:12<00:00,  2.09s/it]
  0%|                                        | 0/1501 [00:00<?, ?it/s]
iteration 1 : supervised_loss : 1.112019
iteration 2 : supervised_loss : 1.255471
iteration 3 : supervised_loss : 0.899992
iteration 4 : supervised_loss : 0.924648
iteration 5 : supervised_loss : 0.948201
iteration 6 : supervised_loss : 0.910905
iteration 7 : supervised_loss : 0.963574
iteration 8 : supervised_loss : 0.846929
iteration 9 : supervised_loss : 0.778258
iteration 10 : supervised_loss : 0.826417
iteration 11 : supervised_loss : 0.740636
iteration 12 : supervised_loss : 0.662455
iteration 13 : supervised_loss : 0.625618
iteration 14 : supervised_loss : 0.604026
iteration 15 : supervised_loss : 0.660401
iteration 16 : supervised_loss : 0.583642
iteration 17 : supervised_loss : 0.625011
iteration 18 : supervised_loss : 0.639202

  0%|                             | 1/1501 [00:49<20:41:12, 49.65s/it]
iteration 20 : supervised_loss : 0.564536
iteration 21 : supervised_loss : 0.651376
iteration 22 : supervised_loss : 0.530139
iteration 23 : supervised_loss : 0.523409
iteration 24 : supervised_loss : 0.517909
iteration 25 : supervised_loss : 0.516923
iteration 26 : supervised_loss : 0.511142
iteration 27 : supervised_loss : 0.586263
iteration 28 : supervised_loss : 0.515208
iteration 29 : supervised_loss : 0.591286
iteration 30 : supervised_loss : 0.508037
iteration 31 : supervised_loss : 0.535336
iteration 32 : supervised_loss : 0.538452
iteration 33 : supervised_loss : 0.511588
iteration 34 : supervised_loss : 0.510253
iteration 35 : supervised_loss : 0.521341
iteration 36 : supervised_loss : 0.532180
iteration 37 : supervised_loss : 0.507727
iteration 38 : supervised_loss : 0.539300

  0%|                             | 2/1501 [01:39<20:50:09, 50.04s/it]
iteration 40 : supervised_loss : 0.532998
iteration 41 : supervised_loss : 0.502519
iteration 42 : supervised_loss : 0.501926
iteration 43 : supervised_loss : 0.515296
iteration 44 : supervised_loss : 0.495029
iteration 45 : supervised_loss : 0.511673
iteration 46 : supervised_loss : 0.497591
iteration 47 : supervised_loss : 0.497477
iteration 48 : supervised_loss : 0.490462
iteration 49 : supervised_loss : 0.507982
iteration 50 : supervised_loss : 0.488057
iteration 51 : supervised_loss : 0.505320
iteration 52 : supervised_loss : 0.497570
iteration 53 : supervised_loss : 0.498978
iteration 54 : supervised_loss : 0.481750
iteration 55 : supervised_loss : 0.487382
iteration 56 : supervised_loss : 0.495467
iteration 57 : supervised_loss : 0.476874
