
Namespace(add=1e-08, aggKernel=11, base_lr=0.01, batch_size=2, class_name=1, deterministic=1, ema_decay=0.99, exp='SL/sameForm_Wssl', fold=None, gpu='4,5', max_iterations=30000, model='Vnet_3D_272_272_144_randomCrop', num_classes=2, overlap=0.5, patch_size=[272, 272, 144], root_path='/data/sohui/Prostate/data/trim/sl_data/centerCrop_350_350_200', seed=1337, sw_batch_size=8)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]






Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:44<00:00,  1.84s/it]


Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:12<00:00,  2.15s/it]
  0%|                                        | 0/1501 [00:00<?, ?it/s]
iteration 1 : supervised_loss : 1.114371
iteration 2 : supervised_loss : 1.260909
iteration 3 : supervised_loss : 0.899785
iteration 4 : supervised_loss : 0.923960
iteration 5 : supervised_loss : 0.949191
iteration 6 : supervised_loss : 0.914532
iteration 7 : supervised_loss : 0.967405
iteration 8 : supervised_loss : 0.851225
iteration 9 : supervised_loss : 0.775757
iteration 10 : supervised_loss : 0.822781
iteration 11 : supervised_loss : 0.736357
iteration 12 : supervised_loss : 0.652010
iteration 13 : supervised_loss : 0.629727
iteration 14 : supervised_loss : 0.603704
iteration 15 : supervised_loss : 0.661662
iteration 16 : supervised_loss : 0.569670
iteration 17 : supervised_loss : 0.625481
iteration 18 : supervised_loss : 0.627913
iteration 19 : supervised_loss : 0.578280

  0%|                             | 1/1501 [00:58<24:24:28, 58.58s/it]
iteration 21 : supervised_loss : 0.655152
iteration 22 : supervised_loss : 0.528119
iteration 23 : supervised_loss : 0.525904
iteration 24 : supervised_loss : 0.515764
iteration 25 : supervised_loss : 0.522466
iteration 26 : supervised_loss : 0.508321
iteration 27 : supervised_loss : 0.587663
iteration 28 : supervised_loss : 0.520809
iteration 29 : supervised_loss : 0.590163
iteration 30 : supervised_loss : 0.508880
iteration 31 : supervised_loss : 0.533023
iteration 32 : supervised_loss : 0.535025
iteration 33 : supervised_loss : 0.514388
iteration 34 : supervised_loss : 0.509635
iteration 35 : supervised_loss : 0.522649
iteration 36 : supervised_loss : 0.531918
iteration 37 : supervised_loss : 0.514466
iteration 38 : supervised_loss : 0.540834

  0%|                             | 2/1501 [01:57<24:32:54, 58.96s/it]
iteration 40 : supervised_loss : 0.533594
iteration 41 : supervised_loss : 0.505996
iteration 42 : supervised_loss : 0.504125
iteration 43 : supervised_loss : 0.520366
iteration 44 : supervised_loss : 0.497799
iteration 45 : supervised_loss : 0.518953
iteration 46 : supervised_loss : 0.499043
iteration 47 : supervised_loss : 0.504481
iteration 48 : supervised_loss : 0.501115
iteration 49 : supervised_loss : 0.496543
iteration 50 : supervised_loss : 0.496472
iteration 51 : supervised_loss : 0.522436
iteration 52 : supervised_loss : 0.512353
iteration 53 : supervised_loss : 0.503884
iteration 54 : supervised_loss : 0.500022
iteration 55 : supervised_loss : 0.493598
iteration 56 : supervised_loss : 0.510894
iteration 57 : supervised_loss : 0.490383
