
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO_350_350_200_ulSlow', gpu='2,3', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]







Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:44<00:00,  1.87s/it]





Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:22<00:00,  1.09it/s]


Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [00:12<00:01,  1.57s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:17<00:00,  2.97s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.558494, loss_ce: 0.562615, loss_dice: 0.553965
iteration 2 : loss : 0.521223, loss_ce: 0.495731, loss_dice: 0.546614
iteration 3 : loss : 0.483899, loss_ce: 0.442461, loss_dice: 0.525153
iteration 4 : loss : 0.527828, loss_ce: 0.507451, loss_dice: 0.547950
iteration 5 : loss : 0.604557, loss_ce: 0.637226, loss_dice: 0.571704
iteration 6 : loss : 0.563569, loss_ce: 0.573189, loss_dice: 0.553680
iteration 7 : loss : 0.478623, loss_ce: 0.438476, loss_dice: 0.518589
iteration 8 : loss : 0.432817, loss_ce: 0.352942, loss_dice: 0.512602
iteration 9 : loss : 0.398054, loss_ce: 0.309595, loss_dice: 0.486183
iteration 10 : loss : 0.431078, loss_ce: 0.346357, loss_dice: 0.515623
iteration 11 : loss : 0.423658, loss_ce: 0.337200, loss_dice: 0.509761
iteration 12 : loss : 0.341073, loss_ce: 0.190484, loss_dice: 0.491354
iteration 13 : loss : 0.442090, loss_ce: 0.360914, loss_dice: 0.523066
iteration 14 : loss : 0.338446, loss_ce: 0.194240, loss_dice: 0.482322
iteration 15 : loss : 0.319362, loss_ce: 0.166206, loss_dice: 0.472165
