
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/GDT-MT_350_350_200_rampup_refpaper', gpu='2,3', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_208_randomCrop', num_classes=2, patch_size=[208, 208, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]







Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:43<00:00,  1.82s/it]




Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:22<00:00,  1.08it/s]


Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [00:12<00:01,  1.61s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:18<00:00,  3.06s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.862249, loss_ce: 0.557506, loss_dice: 0.544958
iteration 2 : loss : 1.034900, loss_ce: 0.622442, loss_dice: 0.569569
iteration 3 : loss : 0.746073, loss_ce: 0.465438, loss_dice: 0.519591
iteration 4 : loss : 0.878605, loss_ce: 0.658198, loss_dice: 0.578016
iteration 5 : loss : 0.784626, loss_ce: 0.359003, loss_dice: 0.507955
iteration 6 : loss : 0.732016, loss_ce: 0.393952, loss_dice: 0.506668
iteration 7 : loss : 0.612032, loss_ce: 0.377707, loss_dice: 0.492018
iteration 8 : loss : 0.720293, loss_ce: 0.547563, loss_dice: 0.542811
iteration 9 : loss : 0.613704, loss_ce: 0.292302, loss_dice: 0.473606
iteration 10 : loss : 0.664364, loss_ce: 0.452139, loss_dice: 0.526164
iteration 11 : loss : 0.525495, loss_ce: 0.370715, loss_dice: 0.499074
iteration 12 : loss : 0.511915, loss_ce: 0.212817, loss_dice: 0.478730
iteration 13 : loss : 0.447871, loss_ce: 0.220466, loss_dice: 0.485303
iteration 14 : loss : 0.502334, loss_ce: 0.251860, loss_dice: 0.485995
iteration 15 : loss : 0.443424, loss_ce: 0.291069, loss_dice: 0.482270
iteration 16 : loss : 0.375694, loss_ce: 0.180615, loss_dice: 0.475027
iteration 17 : loss : 0.456208, loss_ce: 0.326242, loss_dice: 0.489546
iteration 18 : loss : 0.524914, loss_ce: 0.367983, loss_dice: 0.500679
iteration 19 : loss : 0.425790, loss_ce: 0.246818, loss_dice: 0.481166
iteration 20 : loss : 0.402329, loss_ce: 0.202804, loss_dice: 0.472941
iteration 21 : loss : 0.357392, loss_ce: 0.171696, loss_dice: 0.476796
iteration 22 : loss : 0.436777, loss_ce: 0.304955, loss_dice: 0.484642
iteration 23 : loss : 0.434336, loss_ce: 0.301132, loss_dice: 0.498479
iteration 24 : loss : 0.337870, loss_ce: 0.132266, loss_dice: 0.468798
iteration 25 : loss : 0.323326, loss_ce: 0.104145, loss_dice: 0.443647
iteration 26 : loss : 0.429216, loss_ce: 0.205782, loss_dice: 0.471734
iteration 27 : loss : 0.368771, loss_ce: 0.177712, loss_dice: 0.425707
iteration 28 : loss : 0.373484, loss_ce: 0.135434, loss_dice: 0.443060
iteration 29 : loss : 0.359617, loss_ce: 0.106879, loss_dice: 0.436533
iteration 30 : loss : 0.364123, loss_ce: 0.095558, loss_dice: 0.473768
iteration 31 : loss : 0.362902, loss_ce: 0.143143, loss_dice: 0.454314
iteration 32 : loss : 0.415120, loss_ce: 0.184541, loss_dice: 0.483105
iteration 33 : loss : 0.351778, loss_ce: 0.106372, loss_dice: 0.466832
iteration 34 : loss : 0.282344, loss_ce: 0.089312, loss_dice: 0.435281
iteration 35 : loss : 0.331379, loss_ce: 0.101609, loss_dice: 0.465952
iteration 36 : loss : 0.333508, loss_ce: 0.119604, loss_dice: 0.452237
iteration 37 : loss : 0.339657, loss_ce: 0.143494, loss_dice: 0.421396
iteration 38 : loss : 0.331982, loss_ce: 0.110857, loss_dice: 0.428768
iteration 39 : loss : 0.324621, loss_ce: 0.095934, loss_dice: 0.446110
iteration 40 : loss : 0.283177, loss_ce: 0.090762, loss_dice: 0.408991
iteration 41 : loss : 0.318205, loss_ce: 0.120653, loss_dice: 0.435830
iteration 42 : loss : 0.303025, loss_ce: 0.066571, loss_dice: 0.453246
iteration 43 : loss : 0.307910, loss_ce: 0.096800, loss_dice: 0.445131
iteration 44 : loss : 0.314866, loss_ce: 0.057773, loss_dice: 0.462707
iteration 45 : loss : 0.311503, loss_ce: 0.093850, loss_dice: 0.446408
iteration 46 : loss : 0.309772, loss_ce: 0.067875, loss_dice: 0.447148
iteration 47 : loss : 0.317119, loss_ce: 0.087546, loss_dice: 0.451230
iteration 48 : loss : 0.317149, loss_ce: 0.088793, loss_dice: 0.452424
iteration 49 : loss : 0.289626, loss_ce: 0.090211, loss_dice: 0.433616
iteration 50 : loss : 0.312057, loss_ce: 0.079013, loss_dice: 0.444822
iteration 51 : loss : 0.325289, loss_ce: 0.117485, loss_dice: 0.464570
iteration 52 : loss : 0.309512, loss_ce: 0.081421, loss_dice: 0.438693
iteration 53 : loss : 0.291787, loss_ce: 0.065585, loss_dice: 0.431870
iteration 54 : loss : 0.305954, loss_ce: 0.071467, loss_dice: 0.448787
iteration 55 : loss : 0.309338, loss_ce: 0.115506, loss_dice: 0.437432
iteration 56 : loss : 0.282633, loss_ce: 0.069452, loss_dice: 0.429534
iteration 57 : loss : 0.301557, loss_ce: 0.081988, loss_dice: 0.442131
iteration 58 : loss : 0.290236, loss_ce: 0.068382, loss_dice: 0.443041
iteration 59 : loss : 0.299671, loss_ce: 0.076537, loss_dice: 0.458666
iteration 60 : loss : 0.293864, loss_ce: 0.061952, loss_dice: 0.450753
