
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/GDT-MT_350_350_200_rampup_refpaper', gpu='2,3', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_208_randomCrop', num_classes=2, patch_size=[208, 208, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]









Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:40<00:00,  1.68s/it]



Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:22<00:00,  1.07it/s]


Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [00:12<00:01,  1.57s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:17<00:00,  2.96s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.841833, loss_ce: 0.563252, loss_dice: 0.547967
iteration 2 : loss : 1.088000, loss_ce: 0.614928, loss_dice: 0.570808
iteration 3 : loss : 0.740080, loss_ce: 0.461683, loss_dice: 0.517642
iteration 4 : loss : 0.967111, loss_ce: 0.668590, loss_dice: 0.580411
iteration 5 : loss : 0.734868, loss_ce: 0.357115, loss_dice: 0.507444
iteration 6 : loss : 0.717109, loss_ce: 0.391035, loss_dice: 0.505675
iteration 7 : loss : 0.654071, loss_ce: 0.380043, loss_dice: 0.496871
iteration 8 : loss : 0.750355, loss_ce: 0.549344, loss_dice: 0.542658
iteration 9 : loss : 0.612941, loss_ce: 0.291466, loss_dice: 0.472700
iteration 10 : loss : 0.662356, loss_ce: 0.453577, loss_dice: 0.525673
iteration 11 : loss : 0.565254, loss_ce: 0.372678, loss_dice: 0.501191
iteration 12 : loss : 0.528460, loss_ce: 0.218118, loss_dice: 0.479334
iteration 13 : loss : 0.506116, loss_ce: 0.228287, loss_dice: 0.486255
iteration 14 : loss : 0.527153, loss_ce: 0.261821, loss_dice: 0.487050
iteration 15 : loss : 0.451266, loss_ce: 0.303455, loss_dice: 0.486681
