
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO_350_350_200_rampup_refpaper', fold=1, gpu='2,3', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_208_randomCrop', num_classes=2, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]







Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:44<00:00,  1.86s/it]





Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:25<00:00,  1.05s/it]

Loading dataset:  17%|██████████████████████████████                                                                                                                                                      | 1/6 [00:11<00:59, 11.89s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:19<00:00,  3.30s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.559628, loss_ce: 0.560231, loss_dice: 0.558622
iteration 2 : loss : 0.522450, loss_ce: 0.493952, loss_dice: 0.550847
iteration 3 : loss : 0.488061, loss_ce: 0.440531, loss_dice: 0.535410
iteration 4 : loss : 0.526612, loss_ce: 0.508693, loss_dice: 0.544275
iteration 5 : loss : 0.602670, loss_ce: 0.635610, loss_dice: 0.569544
iteration 6 : loss : 0.564176, loss_ce: 0.570810, loss_dice: 0.557281
iteration 7 : loss : 0.481547, loss_ce: 0.438177, loss_dice: 0.524751
iteration 8 : loss : 0.432656, loss_ce: 0.354983, loss_dice: 0.510238
iteration 9 : loss : 0.403093, loss_ce: 0.311165, loss_dice: 0.494696
iteration 10 : loss : 0.430554, loss_ce: 0.342244, loss_dice: 0.518687
iteration 11 : loss : 0.419426, loss_ce: 0.327178, loss_dice: 0.511326
iteration 12 : loss : 0.329216, loss_ce: 0.185195, loss_dice: 0.472930
iteration 13 : loss : 0.440273, loss_ce: 0.359728, loss_dice: 0.520619
iteration 14 : loss : 0.339169, loss_ce: 0.188351, loss_dice: 0.489656
iteration 15 : loss : 0.316645, loss_ce: 0.162655, loss_dice: 0.470289
iteration 16 : loss : 0.343549, loss_ce: 0.203243, loss_dice: 0.483584
iteration 17 : loss : 0.394674, loss_ce: 0.307203, loss_dice: 0.481789
iteration 18 : loss : 0.309384, loss_ce: 0.150963, loss_dice: 0.467721
iteration 19 : loss : 0.324436, loss_ce: 0.175510, loss_dice: 0.473122
