
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO_350_350_200_rampup_refpaper', fold=1, gpu='2,3', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
total_prostate train : dataset.json




Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:48<00:00,  2.03s/it]



Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:25<00:00,  1.06s/it]



Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [00:15<00:02,  2.31s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:16<00:00,  2.83s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.556581, loss_ce: 0.560168, loss_dice: 0.552587
iteration 2 : loss : 0.522193, loss_ce: 0.497732, loss_dice: 0.546548
iteration 3 : loss : 0.487949, loss_ce: 0.440627, loss_dice: 0.535092
iteration 4 : loss : 0.527929, loss_ce: 0.511792, loss_dice: 0.543813
iteration 5 : loss : 0.605320, loss_ce: 0.640307, loss_dice: 0.570153
iteration 6 : loss : 0.564670, loss_ce: 0.572050, loss_dice: 0.557033
iteration 7 : loss : 0.482314, loss_ce: 0.439381, loss_dice: 0.525069
iteration 8 : loss : 0.434831, loss_ce: 0.357879, loss_dice: 0.511692
iteration 9 : loss : 0.402783, loss_ce: 0.310811, loss_dice: 0.494422
iteration 10 : loss : 0.434184, loss_ce: 0.347805, loss_dice: 0.520387
iteration 11 : loss : 0.421561, loss_ce: 0.330228, loss_dice: 0.512539
iteration 12 : loss : 0.331987, loss_ce: 0.188589, loss_dice: 0.475073
iteration 13 : loss : 0.439157, loss_ce: 0.358097, loss_dice: 0.520013
iteration 14 : loss : 0.341943, loss_ce: 0.192587, loss_dice: 0.490975
iteration 15 : loss : 0.313720, loss_ce: 0.159874, loss_dice: 0.467212
iteration 16 : loss : 0.342881, loss_ce: 0.200933, loss_dice: 0.484544
iteration 17 : loss : 0.396481, loss_ce: 0.309608, loss_dice: 0.483016
iteration 18 : loss : 0.311476, loss_ce: 0.147776, loss_dice: 0.475092
iteration 19 : loss : 0.326952, loss_ce: 0.180367, loss_dice: 0.473299
iteration 20 : loss : 0.315077, loss_ce: 0.139712, loss_dice: 0.490275
iteration 21 : loss : 0.314335, loss_ce: 0.145753, loss_dice: 0.482793
iteration 22 : loss : 0.289119, loss_ce: 0.117818, loss_dice: 0.460276
iteration 23 : loss : 0.283556, loss_ce: 0.098609, loss_dice: 0.468300
iteration 24 : loss : 0.312748, loss_ce: 0.152729, loss_dice: 0.472285
iteration 25 : loss : 0.334875, loss_ce: 0.187081, loss_dice: 0.482566
iteration 26 : loss : 0.313545, loss_ce: 0.149503, loss_dice: 0.477478
iteration 27 : loss : 0.298497, loss_ce: 0.149549, loss_dice: 0.447252
iteration 28 : loss : 0.259506, loss_ce: 0.071513, loss_dice: 0.447275
iteration 29 : loss : 0.277509, loss_ce: 0.095730, loss_dice: 0.459134
iteration 30 : loss : 0.274411, loss_ce: 0.093803, loss_dice: 0.454895
iteration 31 : loss : 0.341273, loss_ce: 0.190140, loss_dice: 0.492068
iteration 32 : loss : 0.318136, loss_ce: 0.150140, loss_dice: 0.485877
iteration 33 : loss : 0.300362, loss_ce: 0.139931, loss_dice: 0.460435
iteration 34 : loss : 0.294479, loss_ce: 0.107870, loss_dice: 0.480834
iteration 35 : loss : 0.260226, loss_ce: 0.066753, loss_dice: 0.453444
iteration 36 : loss : 0.262480, loss_ce: 0.066969, loss_dice: 0.457832
iteration 37 : loss : 0.260112, loss_ce: 0.053493, loss_dice: 0.466532
iteration 38 : loss : 0.287091, loss_ce: 0.121270, loss_dice: 0.452686
iteration 39 : loss : 0.285697, loss_ce: 0.097484, loss_dice: 0.473795
iteration 40 : loss : 0.295725, loss_ce: 0.130182, loss_dice: 0.461197
iteration 41 : loss : 0.264217, loss_ce: 0.077937, loss_dice: 0.450409
iteration 42 : loss : 0.260384, loss_ce: 0.063426, loss_dice: 0.457304
iteration 43 : loss : 0.286135, loss_ce: 0.104156, loss_dice: 0.468054
iteration 44 : loss : 0.257669, loss_ce: 0.055617, loss_dice: 0.459636
iteration 45 : loss : 0.260338, loss_ce: 0.060960, loss_dice: 0.459581
iteration 46 : loss : 0.334797, loss_ce: 0.188740, loss_dice: 0.480643
iteration 47 : loss : 0.253851, loss_ce: 0.047417, loss_dice: 0.460178
iteration 48 : loss : 0.255237, loss_ce: 0.057100, loss_dice: 0.453341
iteration 49 : loss : 0.257444, loss_ce: 0.063880, loss_dice: 0.450913
iteration 50 : loss : 0.259912, loss_ce: 0.057496, loss_dice: 0.462175
iteration 51 : loss : 0.251223, loss_ce: 0.051932, loss_dice: 0.450470
iteration 52 : loss : 0.268102, loss_ce: 0.086870, loss_dice: 0.449263
iteration 53 : loss : 0.258313, loss_ce: 0.060544, loss_dice: 0.456002
iteration 54 : loss : 0.332571, loss_ce: 0.178056, loss_dice: 0.486964
iteration 55 : loss : 0.284075, loss_ce: 0.117527, loss_dice: 0.450546
iteration 56 : loss : 0.264307, loss_ce: 0.078495, loss_dice: 0.450047
iteration 57 : loss : 0.279552, loss_ce: 0.097696, loss_dice: 0.461358
iteration 58 : loss : 0.255918, loss_ce: 0.068119, loss_dice: 0.443670
iteration 59 : loss : 0.260525, loss_ce: 0.070800, loss_dice: 0.450218
iteration 60 : loss : 0.250872, loss_ce: 0.030866, loss_dice: 0.470828
iteration 61 : loss : 0.294776, loss_ce: 0.107748, loss_dice: 0.481685
iteration 62 : loss : 0.252303, loss_ce: 0.051972, loss_dice: 0.452436
iteration 63 : loss : 0.261308, loss_ce: 0.069311, loss_dice: 0.453171
iteration 64 : loss : 0.275086, loss_ce: 0.093123, loss_dice: 0.456992
iteration 65 : loss : 0.251488, loss_ce: 0.042216, loss_dice: 0.460679
iteration 66 : loss : 0.255186, loss_ce: 0.042699, loss_dice: 0.467622
iteration 67 : loss : 0.265458, loss_ce: 0.084579, loss_dice: 0.446284
iteration 68 : loss : 0.260955, loss_ce: 0.088112, loss_dice: 0.433712
iteration 69 : loss : 0.280182, loss_ce: 0.107057, loss_dice: 0.453265
iteration 70 : loss : 0.276980, loss_ce: 0.105998, loss_dice: 0.447891
iteration 71 : loss : 0.265128, loss_ce: 0.073519, loss_dice: 0.456708
iteration 72 : loss : 0.246587, loss_ce: 0.046319, loss_dice: 0.446788
iteration 73 : loss : 0.276222, loss_ce: 0.109044, loss_dice: 0.443336
iteration 74 : loss : 0.278332, loss_ce: 0.084854, loss_dice: 0.471734
iteration 75 : loss : 0.262887, loss_ce: 0.077129, loss_dice: 0.448570
iteration 76 : loss : 0.259062, loss_ce: 0.067319, loss_dice: 0.450771
iteration 77 : loss : 0.260019, loss_ce: 0.069801, loss_dice: 0.450206
iteration 78 : loss : 0.245797, loss_ce: 0.042252, loss_dice: 0.449209
iteration 79 : loss : 0.275728, loss_ce: 0.089458, loss_dice: 0.461940
iteration 80 : loss : 0.265942, loss_ce: 0.088027, loss_dice: 0.443841
iteration 81 : loss : 0.249027, loss_ce: 0.046787, loss_dice: 0.451245
iteration 82 : loss : 0.306972, loss_ce: 0.130195, loss_dice: 0.483712
iteration 83 : loss : 0.257739, loss_ce: 0.063002, loss_dice: 0.452449
iteration 84 : loss : 0.250300, loss_ce: 0.053386, loss_dice: 0.447144
iteration 85 : loss : 0.256664, loss_ce: 0.064482, loss_dice: 0.448803
iteration 86 : loss : 0.260863, loss_ce: 0.076353, loss_dice: 0.445348
iteration 87 : loss : 0.258085, loss_ce: 0.078980, loss_dice: 0.437169
iteration 88 : loss : 0.249720, loss_ce: 0.063566, loss_dice: 0.435805
iteration 89 : loss : 0.251210, loss_ce: 0.075056, loss_dice: 0.427325
iteration 90 : loss : 0.252872, loss_ce: 0.057273, loss_dice: 0.448408
iteration 91 : loss : 0.253366, loss_ce: 0.064317, loss_dice: 0.442395
iteration 92 : loss : 0.250402, loss_ce: 0.063077, loss_dice: 0.437649
iteration 93 : loss : 0.270743, loss_ce: 0.084840, loss_dice: 0.456615
iteration 94 : loss : 0.272288, loss_ce: 0.080460, loss_dice: 0.464085
iteration 95 : loss : 0.247191, loss_ce: 0.064344, loss_dice: 0.429998
iteration 96 : loss : 0.242633, loss_ce: 0.052622, loss_dice: 0.432618
iteration 97 : loss : 0.253636, loss_ce: 0.066317, loss_dice: 0.440908
iteration 98 : loss : 0.246304, loss_ce: 0.050775, loss_dice: 0.441801
iteration 99 : loss : 0.253177, loss_ce: 0.056943, loss_dice: 0.449372
iteration 100 : loss : 0.262347, loss_ce: 0.059587, loss_dice: 0.465076
iteration 101 : loss : 0.240494, loss_ce: 0.043432, loss_dice: 0.437518
iteration 102 : loss : 0.238048, loss_ce: 0.050262, loss_dice: 0.425816
iteration 103 : loss : 0.251660, loss_ce: 0.054430, loss_dice: 0.448858
iteration 104 : loss : 0.244703, loss_ce: 0.041772, loss_dice: 0.447616
iteration 105 : loss : 0.251630, loss_ce: 0.050458, loss_dice: 0.452781
iteration 106 : loss : 0.245748, loss_ce: 0.040071, loss_dice: 0.451392
iteration 107 : loss : 0.251215, loss_ce: 0.053194, loss_dice: 0.449210
iteration 108 : loss : 0.248057, loss_ce: 0.072421, loss_dice: 0.423660
iteration 109 : loss : 0.239073, loss_ce: 0.037697, loss_dice: 0.440408
iteration 110 : loss : 0.236953, loss_ce: 0.059449, loss_dice: 0.414421
iteration 111 : loss : 0.246877, loss_ce: 0.058802, loss_dice: 0.434928
iteration 112 : loss : 0.243607, loss_ce: 0.063035, loss_dice: 0.424155
iteration 113 : loss : 0.234693, loss_ce: 0.049314, loss_dice: 0.420028
iteration 114 : loss : 0.238354, loss_ce: 0.046525, loss_dice: 0.430163
iteration 115 : loss : 0.231303, loss_ce: 0.040423, loss_dice: 0.422122
iteration 116 : loss : 0.249165, loss_ce: 0.059730, loss_dice: 0.438571
iteration 117 : loss : 0.245519, loss_ce: 0.046491, loss_dice: 0.444517
iteration 118 : loss : 0.239962, loss_ce: 0.055001, loss_dice: 0.424881
iteration 119 : loss : 0.248761, loss_ce: 0.052212, loss_dice: 0.445292
iteration 120 : loss : 0.229443, loss_ce: 0.042461, loss_dice: 0.416412
iteration 121 : loss : 0.238746, loss_ce: 0.052804, loss_dice: 0.424659
iteration 122 : loss : 0.240986, loss_ce: 0.048211, loss_dice: 0.433729
iteration 123 : loss : 0.236085, loss_ce: 0.041900, loss_dice: 0.430246
iteration 124 : loss : 0.241486, loss_ce: 0.051216, loss_dice: 0.431725
iteration 125 : loss : 0.253809, loss_ce: 0.070979, loss_dice: 0.436627
iteration 126 : loss : 0.231806, loss_ce: 0.045668, loss_dice: 0.417928
iteration 127 : loss : 0.237705, loss_ce: 0.047193, loss_dice: 0.428184
iteration 128 : loss : 0.246285, loss_ce: 0.067355, loss_dice: 0.425184
iteration 129 : loss : 0.254437, loss_ce: 0.079121, loss_dice: 0.429715
iteration 130 : loss : 0.270906, loss_ce: 0.089446, loss_dice: 0.452346
iteration 131 : loss : 0.237037, loss_ce: 0.047345, loss_dice: 0.426688
iteration 132 : loss : 0.256056, loss_ce: 0.078225, loss_dice: 0.433842
iteration 133 : loss : 0.239962, loss_ce: 0.046138, loss_dice: 0.433762
iteration 134 : loss : 0.246496, loss_ce: 0.040280, loss_dice: 0.452696
iteration 135 : loss : 0.233936, loss_ce: 0.051982, loss_dice: 0.415821
iteration 136 : loss : 0.242798, loss_ce: 0.054530, loss_dice: 0.431032
iteration 137 : loss : 0.236476, loss_ce: 0.059506, loss_dice: 0.413418
iteration 138 : loss : 0.234671, loss_ce: 0.043484, loss_dice: 0.425820
iteration 139 : loss : 0.252353, loss_ce: 0.060900, loss_dice: 0.443787
iteration 140 : loss : 0.251366, loss_ce: 0.046317, loss_dice: 0.456375
iteration 141 : loss : 0.251836, loss_ce: 0.069570, loss_dice: 0.434059
iteration 142 : loss : 0.227794, loss_ce: 0.043518, loss_dice: 0.412034
iteration 143 : loss : 0.245623, loss_ce: 0.050302, loss_dice: 0.440926
