
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO_350_350_200_rampup_refpaper', fold=2, gpu='2,3', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
total_prostate train : dataset.json









Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:43<00:00,  1.82s/it]






Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:23<00:00,  1.02it/s]

Loading dataset:  50%|██████████████████████████████████████████████████████████████████████████████████████████                                                                                          | 3/6 [00:12<00:09,  3.29s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:22<00:00,  3.83s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.556920, loss_ce: 0.560125, loss_dice: 0.553315
iteration 2 : loss : 0.523091, loss_ce: 0.498500, loss_dice: 0.547574
iteration 3 : loss : 0.483668, loss_ce: 0.442554, loss_dice: 0.524607
iteration 4 : loss : 0.529119, loss_ce: 0.509787, loss_dice: 0.548201
iteration 5 : loss : 0.606315, loss_ce: 0.640282, loss_dice: 0.572167
iteration 6 : loss : 0.563401, loss_ce: 0.573277, loss_dice: 0.553264
iteration 7 : loss : 0.478250, loss_ce: 0.439770, loss_dice: 0.516548
iteration 8 : loss : 0.434317, loss_ce: 0.356215, loss_dice: 0.512328
iteration 9 : loss : 0.398056, loss_ce: 0.309902, loss_dice: 0.485878
iteration 10 : loss : 0.432206, loss_ce: 0.348464, loss_dice: 0.515772
iteration 11 : loss : 0.421777, loss_ce: 0.331246, loss_dice: 0.511953
iteration 12 : loss : 0.332200, loss_ce: 0.188871, loss_dice: 0.475221
iteration 13 : loss : 0.438400, loss_ce: 0.357560, loss_dice: 0.519033
iteration 14 : loss : 0.343520, loss_ce: 0.195286, loss_dice: 0.491432
iteration 15 : loss : 0.313677, loss_ce: 0.159397, loss_dice: 0.467613
iteration 16 : loss : 0.347320, loss_ce: 0.207729, loss_dice: 0.486641
iteration 17 : loss : 0.400335, loss_ce: 0.312745, loss_dice: 0.487584
iteration 18 : loss : 0.312241, loss_ce: 0.153565, loss_dice: 0.470839
iteration 19 : loss : 0.321162, loss_ce: 0.172807, loss_dice: 0.469281
iteration 20 : loss : 0.316520, loss_ce: 0.141563, loss_dice: 0.491319
iteration 21 : loss : 0.318371, loss_ce: 0.150968, loss_dice: 0.485660
iteration 22 : loss : 0.286342, loss_ce: 0.113445, loss_dice: 0.459103
iteration 23 : loss : 0.290561, loss_ce: 0.108490, loss_dice: 0.472437
iteration 24 : loss : 0.309967, loss_ce: 0.148443, loss_dice: 0.471013
iteration 25 : loss : 0.334319, loss_ce: 0.186396, loss_dice: 0.482137
iteration 26 : loss : 0.314420, loss_ce: 0.150633, loss_dice: 0.478098
iteration 27 : loss : 0.294808, loss_ce: 0.146315, loss_dice: 0.443112
iteration 28 : loss : 0.263142, loss_ce: 0.078322, loss_dice: 0.447729
iteration 29 : loss : 0.277777, loss_ce: 0.095476, loss_dice: 0.459921
iteration 30 : loss : 0.276382, loss_ce: 0.096807, loss_dice: 0.455832
iteration 31 : loss : 0.341011, loss_ce: 0.189914, loss_dice: 0.491767
iteration 32 : loss : 0.319794, loss_ce: 0.151674, loss_dice: 0.487669
iteration 33 : loss : 0.301159, loss_ce: 0.141627, loss_dice: 0.460333
iteration 34 : loss : 0.293827, loss_ce: 0.109078, loss_dice: 0.478317
iteration 35 : loss : 0.258767, loss_ce: 0.063863, loss_dice: 0.453415
iteration 36 : loss : 0.259099, loss_ce: 0.063795, loss_dice: 0.454235
iteration 37 : loss : 0.262830, loss_ce: 0.054435, loss_dice: 0.471014
iteration 38 : loss : 0.288373, loss_ce: 0.121939, loss_dice: 0.454582
iteration 39 : loss : 0.283058, loss_ce: 0.094963, loss_dice: 0.471029
iteration 40 : loss : 0.301113, loss_ce: 0.134387, loss_dice: 0.467762
iteration 41 : loss : 0.261629, loss_ce: 0.076449, loss_dice: 0.446717
iteration 42 : loss : 0.261772, loss_ce: 0.061864, loss_dice: 0.461642
iteration 43 : loss : 0.271591, loss_ce: 0.106323, loss_dice: 0.436796
iteration 44 : loss : 0.260388, loss_ce: 0.052839, loss_dice: 0.467829
iteration 45 : loss : 0.260164, loss_ce: 0.056266, loss_dice: 0.463926
iteration 46 : loss : 0.334175, loss_ce: 0.193015, loss_dice: 0.475120
iteration 47 : loss : 0.260194, loss_ce: 0.057842, loss_dice: 0.462435
iteration 48 : loss : 0.256215, loss_ce: 0.057603, loss_dice: 0.454793
iteration 49 : loss : 0.257550, loss_ce: 0.066527, loss_dice: 0.448478
iteration 50 : loss : 0.257609, loss_ce: 0.062784, loss_dice: 0.452293
iteration 51 : loss : 0.251363, loss_ce: 0.051212, loss_dice: 0.451472
iteration 52 : loss : 0.264318, loss_ce: 0.082612, loss_dice: 0.445952
iteration 53 : loss : 0.261471, loss_ce: 0.063789, loss_dice: 0.459070
iteration 54 : loss : 0.332926, loss_ce: 0.178380, loss_dice: 0.487355
iteration 55 : loss : 0.282425, loss_ce: 0.115521, loss_dice: 0.449246
iteration 56 : loss : 0.267989, loss_ce: 0.083115, loss_dice: 0.452789
iteration 57 : loss : 0.284891, loss_ce: 0.100206, loss_dice: 0.469527
iteration 58 : loss : 0.255922, loss_ce: 0.075382, loss_dice: 0.436415
iteration 59 : loss : 0.255302, loss_ce: 0.066142, loss_dice: 0.444425
iteration 60 : loss : 0.250982, loss_ce: 0.029266, loss_dice: 0.472649
iteration 61 : loss : 0.298079, loss_ce: 0.110182, loss_dice: 0.485859
iteration 62 : loss : 0.252876, loss_ce: 0.050434, loss_dice: 0.455124
iteration 63 : loss : 0.270921, loss_ce: 0.078998, loss_dice: 0.462711
iteration 64 : loss : 0.271703, loss_ce: 0.089642, loss_dice: 0.453709
iteration 65 : loss : 0.250029, loss_ce: 0.041052, loss_dice: 0.458920
iteration 66 : loss : 0.254796, loss_ce: 0.042220, loss_dice: 0.467321
iteration 67 : loss : 0.263244, loss_ce: 0.082356, loss_dice: 0.444079
iteration 68 : loss : 0.270287, loss_ce: 0.097429, loss_dice: 0.443060
iteration 69 : loss : 0.279702, loss_ce: 0.108081, loss_dice: 0.451285
iteration 70 : loss : 0.277915, loss_ce: 0.108743, loss_dice: 0.447011
iteration 71 : loss : 0.263172, loss_ce: 0.071449, loss_dice: 0.454865
iteration 72 : loss : 0.244299, loss_ce: 0.046079, loss_dice: 0.442450
iteration 73 : loss : 0.284012, loss_ce: 0.117864, loss_dice: 0.450096
iteration 74 : loss : 0.275819, loss_ce: 0.085199, loss_dice: 0.466375
iteration 75 : loss : 0.264912, loss_ce: 0.079820, loss_dice: 0.449931
iteration 76 : loss : 0.257142, loss_ce: 0.066666, loss_dice: 0.447587
iteration 77 : loss : 0.259989, loss_ce: 0.071238, loss_dice: 0.448712
iteration 78 : loss : 0.246853, loss_ce: 0.044407, loss_dice: 0.449168
iteration 79 : loss : 0.273974, loss_ce: 0.088638, loss_dice: 0.459248
iteration 80 : loss : 0.266944, loss_ce: 0.087646, loss_dice: 0.446224
iteration 81 : loss : 0.244478, loss_ce: 0.045717, loss_dice: 0.443217
iteration 82 : loss : 0.307876, loss_ce: 0.130732, loss_dice: 0.484982
iteration 83 : loss : 0.248459, loss_ce: 0.068070, loss_dice: 0.428821
iteration 84 : loss : 0.254492, loss_ce: 0.050876, loss_dice: 0.458035
iteration 85 : loss : 0.254416, loss_ce: 0.060996, loss_dice: 0.447791
iteration 86 : loss : 0.261271, loss_ce: 0.082110, loss_dice: 0.440406
iteration 87 : loss : 0.250611, loss_ce: 0.087267, loss_dice: 0.413935
iteration 88 : loss : 0.251664, loss_ce: 0.066834, loss_dice: 0.436424
iteration 89 : loss : 0.246216, loss_ce: 0.075907, loss_dice: 0.416490
iteration 90 : loss : 0.248298, loss_ce: 0.057817, loss_dice: 0.438711
iteration 91 : loss : 0.250748, loss_ce: 0.061243, loss_dice: 0.440230
iteration 92 : loss : 0.246676, loss_ce: 0.061387, loss_dice: 0.431884
iteration 93 : loss : 0.271800, loss_ce: 0.084276, loss_dice: 0.459289
iteration 94 : loss : 0.269376, loss_ce: 0.076117, loss_dice: 0.462606
iteration 95 : loss : 0.243321, loss_ce: 0.060945, loss_dice: 0.425652
iteration 96 : loss : 0.252313, loss_ce: 0.062009, loss_dice: 0.442590
iteration 97 : loss : 0.256737, loss_ce: 0.065368, loss_dice: 0.448058
iteration 98 : loss : 0.244083, loss_ce: 0.054818, loss_dice: 0.433315
iteration 99 : loss : 0.245616, loss_ce: 0.052238, loss_dice: 0.438953
iteration 100 : loss : 0.260593, loss_ce: 0.058156, loss_dice: 0.462996
iteration 101 : loss : 0.239922, loss_ce: 0.041953, loss_dice: 0.437853
iteration 102 : loss : 0.240470, loss_ce: 0.055577, loss_dice: 0.425343
iteration 103 : loss : 0.255187, loss_ce: 0.057643, loss_dice: 0.452702
iteration 104 : loss : 0.238866, loss_ce: 0.039034, loss_dice: 0.438680
iteration 105 : loss : 0.246872, loss_ce: 0.047213, loss_dice: 0.446510
iteration 106 : loss : 0.245374, loss_ce: 0.039514, loss_dice: 0.451202
iteration 107 : loss : 0.242340, loss_ce: 0.050025, loss_dice: 0.434629
iteration 108 : loss : 0.253306, loss_ce: 0.076986, loss_dice: 0.429595
iteration 109 : loss : 0.237046, loss_ce: 0.037202, loss_dice: 0.436852
iteration 110 : loss : 0.248197, loss_ce: 0.067684, loss_dice: 0.428680
iteration 111 : loss : 0.242980, loss_ce: 0.055929, loss_dice: 0.430007
iteration 112 : loss : 0.239976, loss_ce: 0.060396, loss_dice: 0.419532
iteration 113 : loss : 0.240678, loss_ce: 0.055485, loss_dice: 0.425826
iteration 114 : loss : 0.236275, loss_ce: 0.049473, loss_dice: 0.423056
iteration 115 : loss : 0.230236, loss_ce: 0.040701, loss_dice: 0.419706
iteration 116 : loss : 0.243628, loss_ce: 0.058682, loss_dice: 0.428544
iteration 117 : loss : 0.244888, loss_ce: 0.045995, loss_dice: 0.443747
iteration 118 : loss : 0.237905, loss_ce: 0.054869, loss_dice: 0.420896
iteration 119 : loss : 0.243934, loss_ce: 0.050710, loss_dice: 0.437141
iteration 120 : loss : 0.221243, loss_ce: 0.038374, loss_dice: 0.404100
iteration 121 : loss : 0.236992, loss_ce: 0.053688, loss_dice: 0.420266
iteration 122 : loss : 0.238193, loss_ce: 0.045497, loss_dice: 0.430856
iteration 123 : loss : 0.234804, loss_ce: 0.046522, loss_dice: 0.423066
iteration 124 : loss : 0.246840, loss_ce: 0.049283, loss_dice: 0.444366
iteration 125 : loss : 0.253726, loss_ce: 0.070656, loss_dice: 0.436781
iteration 126 : loss : 0.240774, loss_ce: 0.055045, loss_dice: 0.426481
iteration 127 : loss : 0.225094, loss_ce: 0.054902, loss_dice: 0.395254
iteration 128 : loss : 0.247247, loss_ce: 0.068603, loss_dice: 0.425856
iteration 129 : loss : 0.244291, loss_ce: 0.077936, loss_dice: 0.410611
iteration 130 : loss : 0.269178, loss_ce: 0.088730, loss_dice: 0.449603
iteration 131 : loss : 0.234319, loss_ce: 0.046539, loss_dice: 0.422056
iteration 132 : loss : 0.249287, loss_ce: 0.074820, loss_dice: 0.423709
iteration 133 : loss : 0.241324, loss_ce: 0.048261, loss_dice: 0.434365
iteration 134 : loss : 0.245365, loss_ce: 0.042349, loss_dice: 0.448364
iteration 135 : loss : 0.228302, loss_ce: 0.046890, loss_dice: 0.409638
iteration 136 : loss : 0.251438, loss_ce: 0.059273, loss_dice: 0.443566
iteration 137 : loss : 0.239039, loss_ce: 0.061007, loss_dice: 0.417038
iteration 138 : loss : 0.225742, loss_ce: 0.043836, loss_dice: 0.407610
iteration 139 : loss : 0.240450, loss_ce: 0.055647, loss_dice: 0.425235
iteration 140 : loss : 0.246947, loss_ce: 0.042901, loss_dice: 0.450949
iteration 141 : loss : 0.246301, loss_ce: 0.065943, loss_dice: 0.426615
iteration 142 : loss : 0.229607, loss_ce: 0.046385, loss_dice: 0.412791
iteration 143 : loss : 0.253436, loss_ce: 0.052336, loss_dice: 0.454516
iteration 144 : loss : 0.226534, loss_ce: 0.032292, loss_dice: 0.420762
iteration 145 : loss : 0.250876, loss_ce: 0.066102, loss_dice: 0.435619
iteration 146 : loss : 0.244558, loss_ce: 0.055845, loss_dice: 0.433244
iteration 147 : loss : 0.228555, loss_ce: 0.051516, loss_dice: 0.405571
iteration 148 : loss : 0.239068, loss_ce: 0.067551, loss_dice: 0.410563
iteration 149 : loss : 0.226706, loss_ce: 0.040651, loss_dice: 0.412736
iteration 150 : loss : 0.238993, loss_ce: 0.065239, loss_dice: 0.412722
iteration 151 : loss : 0.235400, loss_ce: 0.043781, loss_dice: 0.426994
iteration 152 : loss : 0.217167, loss_ce: 0.039605, loss_dice: 0.394704
iteration 153 : loss : 0.228924, loss_ce: 0.049327, loss_dice: 0.408487
iteration 154 : loss : 0.236063, loss_ce: 0.055825, loss_dice: 0.416281
iteration 155 : loss : 0.221738, loss_ce: 0.043485, loss_dice: 0.399961
iteration 156 : loss : 0.245716, loss_ce: 0.053779, loss_dice: 0.437627
iteration 157 : loss : 0.229510, loss_ce: 0.034171, loss_dice: 0.424809
iteration 158 : loss : 0.247969, loss_ce: 0.072072, loss_dice: 0.423844
iteration 159 : loss : 0.219304, loss_ce: 0.023652, loss_dice: 0.414933
iteration 160 : loss : 0.210673, loss_ce: 0.028870, loss_dice: 0.392434
iteration 161 : loss : 0.247280, loss_ce: 0.074821, loss_dice: 0.419729
iteration 162 : loss : 0.254503, loss_ce: 0.071921, loss_dice: 0.437056
iteration 163 : loss : 0.234430, loss_ce: 0.051544, loss_dice: 0.417272
iteration 164 : loss : 0.240429, loss_ce: 0.048096, loss_dice: 0.432740
iteration 165 : loss : 0.242736, loss_ce: 0.060906, loss_dice: 0.424545
iteration 166 : loss : 0.237998, loss_ce: 0.061121, loss_dice: 0.414852
iteration 167 : loss : 0.222580, loss_ce: 0.059255, loss_dice: 0.385876
iteration 168 : loss : 0.239568, loss_ce: 0.060770, loss_dice: 0.418348
iteration 169 : loss : 0.244925, loss_ce: 0.082310, loss_dice: 0.407520
iteration 170 : loss : 0.229186, loss_ce: 0.037976, loss_dice: 0.420383
iteration 171 : loss : 0.223727, loss_ce: 0.039464, loss_dice: 0.407977
iteration 172 : loss : 0.226246, loss_ce: 0.048425, loss_dice: 0.404051
iteration 173 : loss : 0.226963, loss_ce: 0.035567, loss_dice: 0.418331
iteration 174 : loss : 0.243169, loss_ce: 0.049377, loss_dice: 0.436934
iteration 175 : loss : 0.213064, loss_ce: 0.031302, loss_dice: 0.394804
iteration 176 : loss : 0.238089, loss_ce: 0.057121, loss_dice: 0.419031
iteration 177 : loss : 0.233277, loss_ce: 0.053963, loss_dice: 0.412567
iteration 178 : loss : 0.209651, loss_ce: 0.032196, loss_dice: 0.387082
iteration 179 : loss : 0.221576, loss_ce: 0.037990, loss_dice: 0.405147
iteration 180 : loss : 0.239778, loss_ce: 0.041630, loss_dice: 0.437902
iteration 181 : loss : 0.218301, loss_ce: 0.036963, loss_dice: 0.399622
iteration 182 : loss : 0.225580, loss_ce: 0.044195, loss_dice: 0.406943
iteration 183 : loss : 0.280606, loss_ce: 0.096211, loss_dice: 0.464967
iteration 184 : loss : 0.218674, loss_ce: 0.036586, loss_dice: 0.400743
iteration 185 : loss : 0.210674, loss_ce: 0.027396, loss_dice: 0.393930
iteration 186 : loss : 0.219437, loss_ce: 0.027937, loss_dice: 0.410910
iteration 187 : loss : 0.219922, loss_ce: 0.052145, loss_dice: 0.387666
iteration 188 : loss : 0.209552, loss_ce: 0.033229, loss_dice: 0.385854
