
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO_350_350_200_rampup_refpaper', fold=3, gpu='2,3', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
total_prostate train : dataset.json









Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [01:09<00:00,  2.90s/it]







Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [00:25<00:00,  1.05s/it]


Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [00:17<00:02,  2.87s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [00:20<00:00,  3.40s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.555472, loss_ce: 0.558100, loss_dice: 0.552439
iteration 2 : loss : 0.521552, loss_ce: 0.496137, loss_dice: 0.546865
iteration 3 : loss : 0.484395, loss_ce: 0.443818, loss_dice: 0.524791
iteration 4 : loss : 0.525528, loss_ce: 0.504379, loss_dice: 0.546424
iteration 5 : loss : 0.604587, loss_ce: 0.637607, loss_dice: 0.571395
iteration 6 : loss : 0.562762, loss_ce: 0.572805, loss_dice: 0.552443
iteration 7 : loss : 0.479810, loss_ce: 0.442633, loss_dice: 0.516793
iteration 8 : loss : 0.435671, loss_ce: 0.358270, loss_dice: 0.512982
iteration 9 : loss : 0.401990, loss_ce: 0.315358, loss_dice: 0.488296
iteration 10 : loss : 0.440583, loss_ce: 0.361299, loss_dice: 0.519689
iteration 11 : loss : 0.421176, loss_ce: 0.334848, loss_dice: 0.507152
iteration 12 : loss : 0.338139, loss_ce: 0.188012, loss_dice: 0.487963
iteration 13 : loss : 0.444852, loss_ce: 0.364939, loss_dice: 0.524552
iteration 14 : loss : 0.341957, loss_ce: 0.198748, loss_dice: 0.484850
iteration 15 : loss : 0.321222, loss_ce: 0.168141, loss_dice: 0.473952
iteration 16 : loss : 0.346703, loss_ce: 0.206073, loss_dice: 0.487046
iteration 17 : loss : 0.401845, loss_ce: 0.305337, loss_dice: 0.498034
iteration 18 : loss : 0.318459, loss_ce: 0.160508, loss_dice: 0.476333
iteration 19 : loss : 0.323240, loss_ce: 0.175709, loss_dice: 0.470544
iteration 20 : loss : 0.315151, loss_ce: 0.149335, loss_dice: 0.480809
iteration 21 : loss : 0.323817, loss_ce: 0.158410, loss_dice: 0.489116
iteration 22 : loss : 0.286692, loss_ce: 0.114560, loss_dice: 0.458697
iteration 23 : loss : 0.289612, loss_ce: 0.106677, loss_dice: 0.472365
iteration 24 : loss : 0.311632, loss_ce: 0.150580, loss_dice: 0.472191
iteration 25 : loss : 0.337902, loss_ce: 0.191743, loss_dice: 0.483953
iteration 26 : loss : 0.314133, loss_ce: 0.150803, loss_dice: 0.477349
iteration 27 : loss : 0.291425, loss_ce: 0.141859, loss_dice: 0.440801
iteration 28 : loss : 0.263194, loss_ce: 0.079297, loss_dice: 0.446860
iteration 29 : loss : 0.278995, loss_ce: 0.099213, loss_dice: 0.458617
iteration 30 : loss : 0.278715, loss_ce: 0.101266, loss_dice: 0.456059
iteration 31 : loss : 0.341388, loss_ce: 0.190686, loss_dice: 0.491763
iteration 32 : loss : 0.316473, loss_ce: 0.149987, loss_dice: 0.482702
iteration 33 : loss : 0.300507, loss_ce: 0.139969, loss_dice: 0.460688
iteration 34 : loss : 0.290700, loss_ce: 0.107635, loss_dice: 0.473510
iteration 35 : loss : 0.257619, loss_ce: 0.065861, loss_dice: 0.449139
iteration 36 : loss : 0.264730, loss_ce: 0.071148, loss_dice: 0.458159
iteration 37 : loss : 0.258829, loss_ce: 0.055915, loss_dice: 0.461525
iteration 38 : loss : 0.296760, loss_ce: 0.132598, loss_dice: 0.460700
iteration 39 : loss : 0.293482, loss_ce: 0.108769, loss_dice: 0.478072
iteration 40 : loss : 0.301725, loss_ce: 0.133573, loss_dice: 0.469797
iteration 41 : loss : 0.259052, loss_ce: 0.070407, loss_dice: 0.447590
iteration 42 : loss : 0.261324, loss_ce: 0.061557, loss_dice: 0.461047
iteration 43 : loss : 0.278125, loss_ce: 0.112879, loss_dice: 0.443310
iteration 44 : loss : 0.256765, loss_ce: 0.050461, loss_dice: 0.462968
iteration 45 : loss : 0.259630, loss_ce: 0.055841, loss_dice: 0.463280
iteration 46 : loss : 0.333827, loss_ce: 0.191399, loss_dice: 0.476038
iteration 47 : loss : 0.256282, loss_ce: 0.058160, loss_dice: 0.454298
iteration 48 : loss : 0.254677, loss_ce: 0.056159, loss_dice: 0.453160
iteration 49 : loss : 0.258168, loss_ce: 0.074056, loss_dice: 0.442185
iteration 50 : loss : 0.255801, loss_ce: 0.061405, loss_dice: 0.450045
iteration 51 : loss : 0.256122, loss_ce: 0.063466, loss_dice: 0.448733
iteration 52 : loss : 0.264796, loss_ce: 0.071530, loss_dice: 0.457984
iteration 53 : loss : 0.258572, loss_ce: 0.063270, loss_dice: 0.453788
iteration 54 : loss : 0.328212, loss_ce: 0.178258, loss_dice: 0.478048
iteration 55 : loss : 0.288486, loss_ce: 0.119237, loss_dice: 0.457654
iteration 56 : loss : 0.271794, loss_ce: 0.084482, loss_dice: 0.459030
iteration 57 : loss : 0.273484, loss_ce: 0.084872, loss_dice: 0.462061
iteration 58 : loss : 0.253597, loss_ce: 0.069678, loss_dice: 0.437468
iteration 59 : loss : 0.254631, loss_ce: 0.073013, loss_dice: 0.436220
iteration 60 : loss : 0.251126, loss_ce: 0.041442, loss_dice: 0.460766
iteration 61 : loss : 0.293177, loss_ce: 0.109792, loss_dice: 0.476445
iteration 62 : loss : 0.247655, loss_ce: 0.053045, loss_dice: 0.442068
iteration 63 : loss : 0.260395, loss_ce: 0.068248, loss_dice: 0.452425
iteration 64 : loss : 0.272456, loss_ce: 0.090119, loss_dice: 0.454733
iteration 65 : loss : 0.253425, loss_ce: 0.052940, loss_dice: 0.453835
iteration 66 : loss : 0.250139, loss_ce: 0.046227, loss_dice: 0.454008
iteration 67 : loss : 0.260665, loss_ce: 0.089034, loss_dice: 0.432248
iteration 68 : loss : 0.259087, loss_ce: 0.085967, loss_dice: 0.432116
iteration 69 : loss : 0.274056, loss_ce: 0.100824, loss_dice: 0.447245
iteration 70 : loss : 0.279823, loss_ce: 0.109356, loss_dice: 0.450217
iteration 71 : loss : 0.262032, loss_ce: 0.074834, loss_dice: 0.449198
iteration 72 : loss : 0.241691, loss_ce: 0.052646, loss_dice: 0.430677
iteration 73 : loss : 0.283946, loss_ce: 0.119072, loss_dice: 0.448759
iteration 74 : loss : 0.270510, loss_ce: 0.085016, loss_dice: 0.455939
iteration 75 : loss : 0.255277, loss_ce: 0.065857, loss_dice: 0.444632
iteration 76 : loss : 0.259099, loss_ce: 0.073662, loss_dice: 0.444498
iteration 77 : loss : 0.261289, loss_ce: 0.074738, loss_dice: 0.447815
iteration 78 : loss : 0.246895, loss_ce: 0.059199, loss_dice: 0.434470
iteration 79 : loss : 0.281228, loss_ce: 0.095352, loss_dice: 0.467044
iteration 80 : loss : 0.262605, loss_ce: 0.094183, loss_dice: 0.431001
iteration 81 : loss : 0.233325, loss_ce: 0.043376, loss_dice: 0.423251
iteration 82 : loss : 0.304044, loss_ce: 0.131402, loss_dice: 0.476645
iteration 83 : loss : 0.255082, loss_ce: 0.073428, loss_dice: 0.436707
iteration 84 : loss : 0.247668, loss_ce: 0.041033, loss_dice: 0.454238
iteration 85 : loss : 0.254120, loss_ce: 0.061301, loss_dice: 0.446883
iteration 86 : loss : 0.254506, loss_ce: 0.072481, loss_dice: 0.436500
iteration 87 : loss : 0.252828, loss_ce: 0.085993, loss_dice: 0.419641
iteration 88 : loss : 0.256037, loss_ce: 0.070673, loss_dice: 0.441322
iteration 89 : loss : 0.250584, loss_ce: 0.078098, loss_dice: 0.423035
iteration 90 : loss : 0.242075, loss_ce: 0.053303, loss_dice: 0.430782
iteration 91 : loss : 0.248798, loss_ce: 0.060361, loss_dice: 0.437204
iteration 92 : loss : 0.261310, loss_ce: 0.061900, loss_dice: 0.460636
iteration 93 : loss : 0.255863, loss_ce: 0.062804, loss_dice: 0.448881
iteration 94 : loss : 0.252325, loss_ce: 0.067364, loss_dice: 0.437251
iteration 95 : loss : 0.251911, loss_ce: 0.063733, loss_dice: 0.440045
iteration 96 : loss : 0.243468, loss_ce: 0.057553, loss_dice: 0.429363
iteration 97 : loss : 0.248931, loss_ce: 0.051595, loss_dice: 0.446218
iteration 98 : loss : 0.243165, loss_ce: 0.051775, loss_dice: 0.434518
iteration 99 : loss : 0.242943, loss_ce: 0.051460, loss_dice: 0.434386
iteration 100 : loss : 0.256875, loss_ce: 0.068264, loss_dice: 0.445450
iteration 101 : loss : 0.236546, loss_ce: 0.039537, loss_dice: 0.433515
iteration 102 : loss : 0.239199, loss_ce: 0.054977, loss_dice: 0.423401
iteration 103 : loss : 0.249974, loss_ce: 0.054257, loss_dice: 0.445659
iteration 104 : loss : 0.241170, loss_ce: 0.040955, loss_dice: 0.441365
