
Namespace(T=8, base_lr=0.01, batch_size=2, class_name=1, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='SSL/MT_ATO_350_350_200_rampup_refpaper', fold=4, gpu='4,5', labeled_bs=1, labeled_num=40, max_iterations=30000, model='Vnet_3D_256_randomCrop', num_classes=2, patch_size=[256, 256, 128], root_path='/data/sohui/Prostate/data/trim/ssl_data/centerCrop_200', seed=1337, total_labeled_num=290)
Loading dataset:   0%|                                                                                                                                                                                           | 0/24 [00:00<?, ?it/s]






Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [09:36<00:00, 24.03s/it]





Loading dataset: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 24/24 [01:04<00:00,  2.69s/it]


Loading dataset:  83%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                              | 5/6 [01:09<00:08,  8.75s/it]
250 iterations per epoch
Loading dataset: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6/6 [01:10<00:00, 11.77s/it]
  0%|                                         | 0/121 [00:00<?, ?it/s]
iteration 1 : loss : 0.556850, loss_ce: 0.559847, loss_dice: 0.553444
iteration 2 : loss : 0.524031, loss_ce: 0.499911, loss_dice: 0.548047
iteration 3 : loss : 0.484831, loss_ce: 0.444882, loss_dice: 0.524598
iteration 4 : loss : 0.528572, loss_ce: 0.509077, loss_dice: 0.547813
iteration 5 : loss : 0.607094, loss_ce: 0.641474, loss_dice: 0.572531
iteration 6 : loss : 0.563363, loss_ce: 0.573084, loss_dice: 0.553386
iteration 7 : loss : 0.479113, loss_ce: 0.440893, loss_dice: 0.517160
iteration 8 : loss : 0.434365, loss_ce: 0.356243, loss_dice: 0.512397
iteration 9 : loss : 0.401016, loss_ce: 0.313876, loss_dice: 0.487826
iteration 10 : loss : 0.437518, loss_ce: 0.355985, loss_dice: 0.518873
iteration 11 : loss : 0.420272, loss_ce: 0.333375, loss_dice: 0.506821
iteration 12 : loss : 0.339518, loss_ce: 0.189020, loss_dice: 0.489705
iteration 13 : loss : 0.440896, loss_ce: 0.359003, loss_dice: 0.522572
iteration 14 : loss : 0.342276, loss_ce: 0.199305, loss_dice: 0.484935
iteration 15 : loss : 0.316203, loss_ce: 0.159533, loss_dice: 0.472528
iteration 16 : loss : 0.345121, loss_ce: 0.203091, loss_dice: 0.486859
iteration 17 : loss : 0.402089, loss_ce: 0.305849, loss_dice: 0.498003
iteration 18 : loss : 0.323157, loss_ce: 0.165394, loss_dice: 0.480839
iteration 19 : loss : 0.321417, loss_ce: 0.174411, loss_dice: 0.468192
iteration 20 : loss : 0.315382, loss_ce: 0.149670, loss_dice: 0.480940
iteration 21 : loss : 0.317612, loss_ce: 0.143240, loss_dice: 0.491872
iteration 22 : loss : 0.294042, loss_ce: 0.126595, loss_dice: 0.461370
iteration 23 : loss : 0.290336, loss_ce: 0.107987, loss_dice: 0.472508
iteration 24 : loss : 0.319806, loss_ce: 0.155898, loss_dice: 0.483235
iteration 25 : loss : 0.330721, loss_ce: 0.191032, loss_dice: 0.470304
iteration 26 : loss : 0.311901, loss_ce: 0.154606, loss_dice: 0.469084
iteration 27 : loss : 0.292628, loss_ce: 0.151112, loss_dice: 0.433955
iteration 28 : loss : 0.266794, loss_ce: 0.080401, loss_dice: 0.452954
iteration 29 : loss : 0.280413, loss_ce: 0.103488, loss_dice: 0.457174
iteration 30 : loss : 0.285893, loss_ce: 0.090458, loss_dice: 0.481212
iteration 31 : loss : 0.346236, loss_ce: 0.196729, loss_dice: 0.495413
iteration 32 : loss : 0.318366, loss_ce: 0.151209, loss_dice: 0.485287
iteration 33 : loss : 0.302825, loss_ce: 0.142215, loss_dice: 0.463078
iteration 34 : loss : 0.295512, loss_ce: 0.111620, loss_dice: 0.479147
iteration 35 : loss : 0.261829, loss_ce: 0.069256, loss_dice: 0.454150
iteration 36 : loss : 0.269402, loss_ce: 0.074957, loss_dice: 0.463701
iteration 37 : loss : 0.261214, loss_ce: 0.054798, loss_dice: 0.467412
iteration 38 : loss : 0.293315, loss_ce: 0.128367, loss_dice: 0.458034
iteration 39 : loss : 0.289646, loss_ce: 0.101984, loss_dice: 0.477190
iteration 40 : loss : 0.304355, loss_ce: 0.135280, loss_dice: 0.473349
iteration 41 : loss : 0.260137, loss_ce: 0.072582, loss_dice: 0.447588
iteration 42 : loss : 0.261368, loss_ce: 0.059203, loss_dice: 0.463492
iteration 43 : loss : 0.278155, loss_ce: 0.112506, loss_dice: 0.443742
iteration 44 : loss : 0.258350, loss_ce: 0.049985, loss_dice: 0.466612
iteration 45 : loss : 0.261660, loss_ce: 0.055197, loss_dice: 0.467984
iteration 46 : loss : 0.332670, loss_ce: 0.190544, loss_dice: 0.474572
iteration 47 : loss : 0.260091, loss_ce: 0.057074, loss_dice: 0.463001
iteration 48 : loss : 0.256452, loss_ce: 0.055421, loss_dice: 0.457446
iteration 49 : loss : 0.259392, loss_ce: 0.072063, loss_dice: 0.446622
iteration 50 : loss : 0.259011, loss_ce: 0.060485, loss_dice: 0.457392
iteration 51 : loss : 0.257079, loss_ce: 0.060914, loss_dice: 0.453199
iteration 52 : loss : 0.260323, loss_ce: 0.064709, loss_dice: 0.455863
iteration 53 : loss : 0.259103, loss_ce: 0.060407, loss_dice: 0.457714
iteration 54 : loss : 0.328775, loss_ce: 0.178845, loss_dice: 0.478584
iteration 55 : loss : 0.284458, loss_ce: 0.112806, loss_dice: 0.456030
iteration 56 : loss : 0.270883, loss_ce: 0.081455, loss_dice: 0.460235
iteration 57 : loss : 0.276699, loss_ce: 0.086688, loss_dice: 0.466676
iteration 58 : loss : 0.252225, loss_ce: 0.063004, loss_dice: 0.441396
iteration 59 : loss : 0.255008, loss_ce: 0.070841, loss_dice: 0.439146
iteration 60 : loss : 0.252903, loss_ce: 0.039640, loss_dice: 0.466121
iteration 61 : loss : 0.293818, loss_ce: 0.100711, loss_dice: 0.486802
iteration 62 : loss : 0.254574, loss_ce: 0.057872, loss_dice: 0.451066
iteration 63 : loss : 0.261103, loss_ce: 0.069066, loss_dice: 0.453017
iteration 64 : loss : 0.279842, loss_ce: 0.091818, loss_dice: 0.467804
iteration 65 : loss : 0.247057, loss_ce: 0.053362, loss_dice: 0.440673
iteration 66 : loss : 0.252393, loss_ce: 0.050148, loss_dice: 0.454590
iteration 67 : loss : 0.260815, loss_ce: 0.092638, loss_dice: 0.428940
