
Namespace(T=1, base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='GDT-MT_woATO', gpu='4', labeled_bs=2, labeled_num=50, max_iterations=30000, model='vnet_3D_96_32', num_classes=2, patch_size=[96, 96, 96], root_path='/data/sohui/BraTS/data/BraTs2019', seed=1337, total_labeled_num=250)
total 250 samples
25 iterations per epoch
  0%|                                        | 0/1201 [00:00<?, ?it/s]
iteration 1 : loss : 0.873747, loss_ce: 0.535350, loss_dice: 0.515879
iteration 2 : loss : 0.974485, loss_ce: 0.612151, loss_dice: 0.532527
iteration 3 : loss : 0.847855, loss_ce: 0.552664, loss_dice: 0.386354
iteration 4 : loss : 0.769050, loss_ce: 0.535119, loss_dice: 0.418626
iteration 5 : loss : 0.569213, loss_ce: 0.444456, loss_dice: 0.405552
iteration 6 : loss : 0.864402, loss_ce: 0.531283, loss_dice: 0.494586
iteration 7 : loss : 0.614238, loss_ce: 0.453078, loss_dice: 0.382641
iteration 8 : loss : 0.519227, loss_ce: 0.360041, loss_dice: 0.406156
iteration 9 : loss : 0.506620, loss_ce: 0.397993, loss_dice: 0.396993
iteration 10 : loss : 0.724273, loss_ce: 0.655269, loss_dice: 0.547157
iteration 11 : loss : 0.545917, loss_ce: 0.305559, loss_dice: 0.418654
iteration 12 : loss : 0.422377, loss_ce: 0.360714, loss_dice: 0.286850
iteration 13 : loss : 0.422246, loss_ce: 0.358595, loss_dice: 0.350761
iteration 14 : loss : 0.305732, loss_ce: 0.290978, loss_dice: 0.238005
iteration 15 : loss : 0.333254, loss_ce: 0.311091, loss_dice: 0.249970
iteration 16 : loss : 0.364052, loss_ce: 0.334427, loss_dice: 0.254938
iteration 17 : loss : 0.380057, loss_ce: 0.260808, loss_dice: 0.386472
iteration 18 : loss : 0.452823, loss_ce: 0.404245, loss_dice: 0.390081
iteration 19 : loss : 0.332839, loss_ce: 0.220203, loss_dice: 0.295922
iteration 20 : loss : 0.315901, loss_ce: 0.286352, loss_dice: 0.243408
iteration 21 : loss : 0.344357, loss_ce: 0.191174, loss_dice: 0.412437
iteration 22 : loss : 0.338487, loss_ce: 0.236337, loss_dice: 0.353961
iteration 23 : loss : 0.298963, loss_ce: 0.256319, loss_dice: 0.251504

  0%|                             | 1/1201 [01:07<22:36:22, 67.82s/it]
iteration 25 : loss : 0.273598, loss_ce: 0.208771, loss_dice: 0.256629
iteration 26 : loss : 0.206885, loss_ce: 0.167646, loss_dice: 0.182277
iteration 27 : loss : 0.279741, loss_ce: 0.171306, loss_dice: 0.329148
iteration 28 : loss : 0.268785, loss_ce: 0.247527, loss_dice: 0.201862
iteration 29 : loss : 0.414729, loss_ce: 0.238812, loss_dice: 0.361934
iteration 30 : loss : 0.280047, loss_ce: 0.165827, loss_dice: 0.343422
iteration 31 : loss : 0.302422, loss_ce: 0.155698, loss_dice: 0.373899
iteration 32 : loss : 0.254221, loss_ce: 0.193752, loss_dice: 0.216601
iteration 33 : loss : 0.156365, loss_ce: 0.136235, loss_dice: 0.114934
iteration 34 : loss : 0.236044, loss_ce: 0.173959, loss_dice: 0.214712
iteration 35 : loss : 0.186787, loss_ce: 0.119004, loss_dice: 0.164445
iteration 36 : loss : 0.190829, loss_ce: 0.147562, loss_dice: 0.169526
iteration 37 : loss : 0.253178, loss_ce: 0.191975, loss_dice: 0.250056
iteration 38 : loss : 0.163117, loss_ce: 0.142405, loss_dice: 0.112630
iteration 39 : loss : 0.238340, loss_ce: 0.147507, loss_dice: 0.270246
iteration 40 : loss : 0.320344, loss_ce: 0.234657, loss_dice: 0.306807
iteration 41 : loss : 0.191278, loss_ce: 0.182082, loss_dice: 0.092491
iteration 42 : loss : 0.230920, loss_ce: 0.187146, loss_dice: 0.190727
iteration 43 : loss : 0.246961, loss_ce: 0.098437, loss_dice: 0.324052
iteration 44 : loss : 0.145024, loss_ce: 0.100373, loss_dice: 0.120345
iteration 45 : loss : 0.184991, loss_ce: 0.139183, loss_dice: 0.180540
iteration 46 : loss : 0.151566, loss_ce: 0.139255, loss_dice: 0.090846
iteration 47 : loss : 0.135214, loss_ce: 0.099109, loss_dice: 0.098439
iteration 48 : loss : 0.275102, loss_ce: 0.191473, loss_dice: 0.288755

  0%|                             | 2/1201 [02:28<25:05:40, 75.35s/it]
iteration 50 : loss : 0.157561, loss_ce: 0.123925, loss_dice: 0.120577
iteration 51 : loss : 0.265539, loss_ce: 0.132913, loss_dice: 0.341699
iteration 52 : loss : 0.090776, loss_ce: 0.074257, loss_dice: 0.045697
iteration 53 : loss : 0.119294, loss_ce: 0.080362, loss_dice: 0.100664
iteration 54 : loss : 0.115964, loss_ce: 0.103724, loss_dice: 0.073847
iteration 55 : loss : 0.181016, loss_ce: 0.173545, loss_dice: 0.131307
iteration 56 : loss : 0.119499, loss_ce: 0.093656, loss_dice: 0.093316
iteration 57 : loss : 0.248144, loss_ce: 0.212215, loss_dice: 0.220806
iteration 58 : loss : 0.334167, loss_ce: 0.272477, loss_dice: 0.299505
iteration 59 : loss : 0.222960, loss_ce: 0.135998, loss_dice: 0.256087
iteration 60 : loss : 0.170693, loss_ce: 0.125585, loss_dice: 0.136440
iteration 61 : loss : 0.093292, loss_ce: 0.089713, loss_dice: 0.045029
iteration 62 : loss : 0.310044, loss_ce: 0.088311, loss_dice: 0.410656
iteration 63 : loss : 0.394303, loss_ce: 0.335844, loss_dice: 0.399351
iteration 64 : loss : 0.117490, loss_ce: 0.083057, loss_dice: 0.087687
iteration 65 : loss : 0.204570, loss_ce: 0.114024, loss_dice: 0.253389
iteration 66 : loss : 0.078845, loss_ce: 0.056629, loss_dice: 0.065698
iteration 67 : loss : 0.077579, loss_ce: 0.042253, loss_dice: 0.040734
iteration 68 : loss : 0.082346, loss_ce: 0.055240, loss_dice: 0.066126
iteration 69 : loss : 0.216794, loss_ce: 0.140869, loss_dice: 0.217171
iteration 70 : loss : 0.319626, loss_ce: 0.165275, loss_dice: 0.352701
iteration 71 : loss : 0.190038, loss_ce: 0.188352, loss_dice: 0.146415
iteration 72 : loss : 0.148608, loss_ce: 0.094005, loss_dice: 0.156130
iteration 73 : loss : 0.138159, loss_ce: 0.101203, loss_dice: 0.103109
iteration 74 : loss : 0.096786, loss_ce: 0.079951, loss_dice: 0.074250

  0%|                             | 3/1201 [04:13<29:39:09, 89.11s/it]
