
Namespace(T=4, base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='GDT-MT', gpu='5', labeled_bs=2, labeled_num=50, max_iterations=30000, model='vnet_3D_96_32', num_classes=2, patch_size=[96, 96, 96], root_path='/data/sohui/BraTS/data/BraTs2019', seed=1337, total_labeled_num=250)
total 250 samples
25 iterations per epoch
  0%|                                        | 0/1201 [00:00<?, ?it/s]
iteration 1 : loss : 0.873709, loss_ce: 0.535350, loss_dice: 0.515879
iteration 2 : loss : 0.844901, loss_ce: 0.642876, loss_dice: 0.547691
iteration 3 : loss : 0.724899, loss_ce: 0.557138, loss_dice: 0.357128
iteration 4 : loss : 0.663250, loss_ce: 0.564331, loss_dice: 0.378949
iteration 5 : loss : 0.826984, loss_ce: 0.648866, loss_dice: 0.482459
iteration 6 : loss : 0.760087, loss_ce: 0.424949, loss_dice: 0.404526
iteration 7 : loss : 0.727068, loss_ce: 0.472909, loss_dice: 0.366101
iteration 8 : loss : 0.559442, loss_ce: 0.405758, loss_dice: 0.365217
iteration 9 : loss : 0.545797, loss_ce: 0.366799, loss_dice: 0.400034
iteration 10 : loss : 0.669935, loss_ce: 0.375356, loss_dice: 0.517163
iteration 11 : loss : 0.466386, loss_ce: 0.374789, loss_dice: 0.438423
iteration 12 : loss : 0.248590, loss_ce: 0.237854, loss_dice: 0.152640
iteration 13 : loss : 0.444353, loss_ce: 0.336017, loss_dice: 0.354187
iteration 14 : loss : 0.278233, loss_ce: 0.269398, loss_dice: 0.210231
iteration 15 : loss : 0.396605, loss_ce: 0.371200, loss_dice: 0.281790
iteration 16 : loss : 0.288692, loss_ce: 0.270701, loss_dice: 0.219676
iteration 17 : loss : 0.383526, loss_ce: 0.287539, loss_dice: 0.395514
iteration 18 : loss : 0.390955, loss_ce: 0.314581, loss_dice: 0.310032
iteration 19 : loss : 0.276797, loss_ce: 0.227770, loss_dice: 0.251821
iteration 20 : loss : 0.301399, loss_ce: 0.268884, loss_dice: 0.202455
iteration 21 : loss : 0.366764, loss_ce: 0.260522, loss_dice: 0.421681
iteration 22 : loss : 0.312924, loss_ce: 0.203488, loss_dice: 0.346598
iteration 23 : loss : 0.227521, loss_ce: 0.233141, loss_dice: 0.130966

  0%|                             | 1/1201 [00:52<17:29:10, 52.46s/it]
iteration 25 : loss : 0.338313, loss_ce: 0.266232, loss_dice: 0.299543
iteration 26 : loss : 0.273900, loss_ce: 0.218557, loss_dice: 0.262472
iteration 27 : loss : 0.318093, loss_ce: 0.260058, loss_dice: 0.303561
iteration 28 : loss : 0.327452, loss_ce: 0.266627, loss_dice: 0.305421
iteration 29 : loss : 0.369613, loss_ce: 0.257752, loss_dice: 0.352765
iteration 30 : loss : 0.244582, loss_ce: 0.217351, loss_dice: 0.212581
iteration 31 : loss : 0.289151, loss_ce: 0.222983, loss_dice: 0.291415
iteration 32 : loss : 0.255500, loss_ce: 0.176442, loss_dice: 0.244282
iteration 33 : loss : 0.203225, loss_ce: 0.180337, loss_dice: 0.141836
iteration 34 : loss : 0.260857, loss_ce: 0.205792, loss_dice: 0.244665
iteration 35 : loss : 0.139288, loss_ce: 0.090757, loss_dice: 0.108077
iteration 36 : loss : 0.273436, loss_ce: 0.197352, loss_dice: 0.274224
iteration 37 : loss : 0.189567, loss_ce: 0.170836, loss_dice: 0.136297
iteration 38 : loss : 0.144725, loss_ce: 0.124342, loss_dice: 0.078153
iteration 39 : loss : 0.247107, loss_ce: 0.151891, loss_dice: 0.271392
iteration 40 : loss : 0.324671, loss_ce: 0.209267, loss_dice: 0.330146
iteration 41 : loss : 0.319114, loss_ce: 0.297190, loss_dice: 0.218299
iteration 42 : loss : 0.153190, loss_ce: 0.121440, loss_dice: 0.098771
iteration 43 : loss : 0.296691, loss_ce: 0.144012, loss_dice: 0.373981
iteration 44 : loss : 0.175278, loss_ce: 0.104892, loss_dice: 0.174885
iteration 45 : loss : 0.213913, loss_ce: 0.169896, loss_dice: 0.194704
