
Namespace(T=4, base_lr=0.01, batch_size=4, consistency=1.0, consistency_rampup=0.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='kfold/GDT-MT', fold=5, gpu='4', labeled_bs=2, labeled_num=28, max_iterations=30000, model='vnet_3D_96_32', num_classes=2, patch_size=[96, 96, 96], root_path='/data/sohui/BraTS/data/BraTs2019', seed=1337, total_labeled_num=268)
total 268 samples
14 iterations per epoch
  0%|                                        | 0/2143 [00:00<?, ?it/s]
iteration 1 : loss : 0.741809, loss_ce: 0.501231, loss_dice: 0.401281
iteration 2 : loss : 0.632794, loss_ce: 0.586590, loss_dice: 0.401797
iteration 3 : loss : 0.821997, loss_ce: 0.585466, loss_dice: 0.466406
iteration 4 : loss : 0.670379, loss_ce: 0.592758, loss_dice: 0.447507
iteration 5 : loss : 0.839059, loss_ce: 0.585462, loss_dice: 0.501698
iteration 6 : loss : 0.656351, loss_ce: 0.447662, loss_dice: 0.432361
iteration 7 : loss : 0.682967, loss_ce: 0.460831, loss_dice: 0.433665
iteration 8 : loss : 0.511142, loss_ce: 0.412170, loss_dice: 0.318478
iteration 9 : loss : 0.440474, loss_ce: 0.371254, loss_dice: 0.292744
iteration 10 : loss : 0.485680, loss_ce: 0.416256, loss_dice: 0.281087
iteration 11 : loss : 0.489566, loss_ce: 0.430102, loss_dice: 0.368829
iteration 12 : loss : 0.284379, loss_ce: 0.271555, loss_dice: 0.167143

  0%|                             | 1/2143 [00:30<18:13:52, 30.64s/it]
iteration 14 : loss : 0.332924, loss_ce: 0.279275, loss_dice: 0.315787
iteration 15 : loss : 0.333019, loss_ce: 0.339029, loss_dice: 0.201002
iteration 16 : loss : 0.359978, loss_ce: 0.327354, loss_dice: 0.243928
iteration 17 : loss : 0.368191, loss_ce: 0.328148, loss_dice: 0.323071
iteration 18 : loss : 0.316440, loss_ce: 0.258001, loss_dice: 0.220756
iteration 19 : loss : 0.255009, loss_ce: 0.266755, loss_dice: 0.157857
iteration 20 : loss : 0.370460, loss_ce: 0.330683, loss_dice: 0.275109
iteration 21 : loss : 0.301781, loss_ce: 0.323517, loss_dice: 0.214846
iteration 22 : loss : 0.278767, loss_ce: 0.209560, loss_dice: 0.273195
iteration 23 : loss : 0.296471, loss_ce: 0.263369, loss_dice: 0.249266
iteration 24 : loss : 0.202712, loss_ce: 0.173036, loss_dice: 0.150527
iteration 25 : loss : 0.327540, loss_ce: 0.305381, loss_dice: 0.245044
iteration 26 : loss : 0.268070, loss_ce: 0.244357, loss_dice: 0.229558
iteration 27 : loss : 0.351897, loss_ce: 0.312400, loss_dice: 0.243457

  0%|                             | 2/2143 [01:00<17:58:59, 30.24s/it]
iteration 29 : loss : 0.209774, loss_ce: 0.168483, loss_dice: 0.180965
iteration 30 : loss : 0.257561, loss_ce: 0.266196, loss_dice: 0.167320
iteration 31 : loss : 0.210196, loss_ce: 0.220742, loss_dice: 0.125460
iteration 32 : loss : 0.204010, loss_ce: 0.172233, loss_dice: 0.151023
iteration 33 : loss : 0.294236, loss_ce: 0.252766, loss_dice: 0.262473
iteration 34 : loss : 0.241087, loss_ce: 0.216957, loss_dice: 0.184426
iteration 35 : loss : 0.190279, loss_ce: 0.151889, loss_dice: 0.121060
iteration 36 : loss : 0.256514, loss_ce: 0.226327, loss_dice: 0.201429
iteration 37 : loss : 0.228555, loss_ce: 0.112883, loss_dice: 0.297988
iteration 38 : loss : 0.190038, loss_ce: 0.189049, loss_dice: 0.106709
iteration 39 : loss : 0.147146, loss_ce: 0.143107, loss_dice: 0.062979
iteration 40 : loss : 0.229183, loss_ce: 0.212401, loss_dice: 0.162247
iteration 41 : loss : 0.242382, loss_ce: 0.176270, loss_dice: 0.202016

  0%|                             | 3/2143 [01:30<17:48:26, 29.96s/it]
iteration 43 : loss : 0.162975, loss_ce: 0.130469, loss_dice: 0.106526
iteration 44 : loss : 0.129037, loss_ce: 0.086965, loss_dice: 0.102193
iteration 45 : loss : 0.189292, loss_ce: 0.143676, loss_dice: 0.178215
iteration 46 : loss : 0.230325, loss_ce: 0.206768, loss_dice: 0.199347
iteration 47 : loss : 0.272484, loss_ce: 0.186413, loss_dice: 0.270749
iteration 48 : loss : 0.208375, loss_ce: 0.147581, loss_dice: 0.198100
iteration 49 : loss : 0.225326, loss_ce: 0.136851, loss_dice: 0.237968
iteration 50 : loss : 0.189257, loss_ce: 0.149396, loss_dice: 0.137114
iteration 51 : loss : 0.234773, loss_ce: 0.203246, loss_dice: 0.170348
iteration 52 : loss : 0.164389, loss_ce: 0.137587, loss_dice: 0.125177
iteration 53 : loss : 0.258488, loss_ce: 0.231123, loss_dice: 0.203870
iteration 54 : loss : 0.139452, loss_ce: 0.130618, loss_dice: 0.065106

  0%|                             | 4/2143 [02:00<17:58:52, 30.26s/it]
iteration 56 : loss : 0.218654, loss_ce: 0.178138, loss_dice: 0.193163
iteration 57 : loss : 0.185354, loss_ce: 0.177353, loss_dice: 0.127890
iteration 58 : loss : 0.273359, loss_ce: 0.179404, loss_dice: 0.241497
iteration 59 : loss : 0.214803, loss_ce: 0.229029, loss_dice: 0.122216
iteration 60 : loss : 0.209677, loss_ce: 0.193404, loss_dice: 0.153071
iteration 61 : loss : 0.096028, loss_ce: 0.065571, loss_dice: 0.071923
iteration 62 : loss : 0.217979, loss_ce: 0.175865, loss_dice: 0.194744
iteration 63 : loss : 0.116564, loss_ce: 0.101954, loss_dice: 0.089422
iteration 64 : loss : 0.147682, loss_ce: 0.140150, loss_dice: 0.097917
iteration 65 : loss : 0.136188, loss_ce: 0.078707, loss_dice: 0.146258
iteration 66 : loss : 0.144196, loss_ce: 0.150841, loss_dice: 0.092843
iteration 67 : loss : 0.115045, loss_ce: 0.097833, loss_dice: 0.051697
iteration 68 : loss : 0.130620, loss_ce: 0.121786, loss_dice: 0.074789

  0%|                             | 5/2143 [02:31<17:55:49, 30.19s/it]
iteration 70 : loss : 0.167529, loss_ce: 0.169520, loss_dice: 0.100646
iteration 71 : loss : 0.195950, loss_ce: 0.137736, loss_dice: 0.200815
iteration 72 : loss : 0.233738, loss_ce: 0.186935, loss_dice: 0.208342
iteration 73 : loss : 0.106996, loss_ce: 0.095323, loss_dice: 0.061509
iteration 74 : loss : 0.134618, loss_ce: 0.131051, loss_dice: 0.080480
iteration 75 : loss : 0.179593, loss_ce: 0.168374, loss_dice: 0.126247
iteration 76 : loss : 0.186373, loss_ce: 0.133037, loss_dice: 0.173920
iteration 77 : loss : 0.118358, loss_ce: 0.085600, loss_dice: 0.078648
iteration 78 : loss : 0.265156, loss_ce: 0.121788, loss_dice: 0.341262
